"","unique.ger_fem...1.."
"291","Anforderung"
"292","Anfrage"
"293","Anfuehrung"
"294","Anfuhr"
"295","Angabe"
"296","Angeberei"
"297","Angehoerigkeit"
"298","Angel"
"299","Angelegenheit"
"300","Angelrute"
"301","Angestelltenversicherung"
"302","Angewohnheit"
"303","Angina"
"304","Angleichung"
"305","Angliederung"
"306","Anglistik"
"307","Angst"
"308","Angstneurose"
"309","Angstpsychose"
"310","Angstroehre"
"311","Anhaengerschaft"
"312","Anhaenglichkeit"
"313","Anhaeufung"
"314","Anhebung"
"315","Anhoehe"
"316","Anhoerung"
"317","Animositaet"
"318","Anklage"
"319","Anklagebank"
"320","Anklageschrift"
"321","Anknuepfung"
"322","Ankuendigung"
"323","Ankunft"
"324","Anlage"
"325","Anlandung"
"326","Anlaufzeit"
"327","Anlegestelle"
"328","Anlehnung"
"329","Anleihe"
"330","Anleitung"
"331","Anmassung"
"332","Anmeldepflicht"
"333","Anmeldung"
"334","Anmerkung"
"335","Anmut"
"336","Annaeherung"
"337","Annahme"
"338","Annahmestelle"
"339","Annahmeverweigerung"
"340","Annehmlichkeit"
"341","Annonce"
"342","Annullierung"
"343","Anomalie"
"344","Anonymitaet"
"345","Anordnung"
"346","Anpassung"
"347","Anpreisung"
"348","Anprobe"
"349","Anrechnung"
"350","Anrechtskarte"
"351","Anrede"
"352","Anregung"
"353","Anreicherung"
"354","Anreise"
"355","Anrichte"
"356","Anruechigkeit"
"357","Anrufung"
"358","Ansaessigkeit"
"359","Ansage"
"360","Ansagerin"
"361","Ansammlung"
"362","Anschaffung"
"363","Anschaulichkeit"
"364","Anschauung"
"365","Anschrift"
"366","Anschuldigung"
"367","Anschwemmung"
"368","Ansicht"
"369","Ansichtskarte"
"370","Ansichtspostkarte"
"371","Ansichtssache"
"372","Anspannung"
"373","Anspielung"
"374","Ansprache"
"375","Anspruchslosigkeit"
"376","Anstaendigkeit"
"377","Anstalt"
"378","Anstecknadel"
"379","Anstellung"
"380","Anstiftung"
"381","Anstrengung"
"382","Anteilnahme"
"383","Antenne"
"384","Anthologie"
"385","Anthropologie"
"386","Antibabypille"
"387","Antike"
"388","Antilope"
"389","Antinomie"
"390","Antipathie"
"391","Antithese"
"392","Antithetik"
"393","Antizipation"
"394","Antriebskraft"
"395","Antrittsrede"
"396","Antwort"
"397","Anwaeltin"
"398","Anwaltschaft"
"399","Anwaltskammer"
"400","Anwandlung"
"401","Anwartschaft"
"402","Anweisung"
"403","Anwendbarkeit"
"404","Anwendung"
"405","Anwendungsmoeglichkeit"
"406","Anwerbung"
"407","Anwesenheit"
"408","Anzahl"
"409","Anzahlung"
"410","Anzeige"
"411","Anzeigepflicht"
"412","Anziehung"
"413","Anziehungskraft"
"414","Apathie"
"415","Apfelsine"
"416","Apologetik"
"417","Apparatur"
"418","Appellation"
"419","Appetitlosigkeit"
"420","Applikation"
"421","Appretur"
"422","Approbation"
"423","Araukarie"
"424","Arbeit"
"425","Arbeiterbewegung"
"426","Arbeiterfrage"
"427","Arbeiterin"
"428","Arbeiterklasse"
"429","Arbeiterpartei"
"430","Arbeiterschaft"
"431","Arbeitsbeschaffung"
"432","Arbeitsgemeinschaft"
"433","Arbeitsgruppe"
"434","Arbeitskraft"
"435","Arbeitslosenversicherung"
"436","Arbeitslosigkeit"
"437","Arbeitsmoral"
"438","Arbeitsorganisation"
"439","Arbeitsstaette"
"440","Arbeitsstunde"
"441","Arbeitsteilung"
"442","Arbeitsweise"
"443","Arbeitswelt"
"444","Arbeitszeit"
"445","Arche"
"446","Architektonik"
"447","Architektur"
"448","Arena"
"449","Arglist"
"450","Arglosigkeit"
"451","Argumentation"
"452","Arie"
"453","Arithmetik"
"454","Arkade"
"455","Armada"
"456","Armbanduhr"
"457","Armbeuge"
"458","Armbinde"
"459","Armierung"
"460","Armlehne"
"461","Armut"
"462","Arroganz"
"463","Arrondierung"
"464","Art"
"465","Arteriosklerose"
"466","Artigkeit"
"467","Artikelserie"
"468","Artikulation"
"469","Artillerie"
"470","Artistenfakultaet"
"471","Artistik"
"472","Artistin"
"473","Artung"
"474","Arzthelferin"
"475","Arztrechnung"
"476","Asche"
"477","Aschenbahn"
"478","Asphaltstrasse"
"479","Aspiration"
"480","Assimilation"
"481","Assistentin"
"482","Assistenz"
"483","Assoziation"
"484","Aster"
"485","Astgabel"
"486","Astrologie"
"487","Astronautik"
"488","Astrophysik"
"489","Atemnot"
"490","Atempause"
"491","Atmung"
"492","Atombombe"
"493","Atomenergie"
"494","Atomkraft"
"495","Atommacht"
"496","Atomphysik"
"497","Attraktion"
"498","Attraktivitaet"
"499","Attrappe"
"500","Aubergine"
"501","Aue"
"502","Aufarbeitung"
"503","Aufbahrung"
"504","Aufbauarbeit"
"505","Aufbereitung"
"506","Aufbesserung"
"507","Aufbewahrung"
"508","Aufbietung"
"509","Aufblaehung"
"510","Aufeinanderfolge"
"511","Auferstehung"
"512","Auffaelligkeit"
"513","Auffahrt"
"514","Auffassung"
"515","Auffassungsgabe"
"516","Auffindung"
"517","Aufforderung"
"518","Auffrischung"
"519","Auffuehrung"
"520","Auffuellung"
"521","Aufgabe"
"522","Aufgabenstellung"
"523","Aufgeblasenheit"
"524","Aufgeschlossenheit"
"525","Aufgliederung"
"526","Aufhaengung"
"527","Aufhebung"
"528","Aufheiterung"
"529","Aufhellung"
"530","Aufhetzung"
"531","Aufklaerung"
"532","Aufklaerungsarbeit"
"533","Auflage"
"534","Auflagenhoehe"
"535","Auflassung"
"536","Auflaufbremse"
"537","Auflegematratze"
"538","Auflehnung"
"539","Auflistung"
"540","Aufloesung"
"541","Aufmachung"
"542","Aufmerksamkeit"
"543","Aufmunterung"
"544","Aufnahme"
"545","Aufnahmefaehigkeit"
"546","Aufnahmegebuehr"
"547","Aufnahmepruefung"
"548","Aufopferung"
"549","Aufrechnung"
"550","Aufrechterhaltung"
"551","Aufregung"
"552","Aufrichtigkeit"
"553","Aufrichtung"
"554","Aufruestung"
"555","Aufsaessigkeit"
"556","Aufschluesselung"
"557","Aufschneiderei"
"558","Aufschrift"
"559","Aufschuettung"
"560","Aufseherin"
"561","Aufsicht"
"562","Aufsichtsbehoerde"
"563","Aufsichtsratssitzung"
"564","Aufspaltung"
"565","Aufstellung"
"566","Aufstiegsmoeglichkeit"
"567","Aufteilung"
"568","Aufwaertsentwicklung"
"569","Aufwallung"
"570","Aufwandsentschaedigung"
"571","Aufwartung"
"572","Aufwendung"
"573","Aufwertung"
"574","Aufzaehlung"
"575","Aufzeichnung"
"576","Aufzucht"
"577","Augenbraue"
"578","Augenheilkunde"
"579","Augenklinik"
"580","Augenweide"
"581","Aula"
"582","Ausarbeitung"
"583","Ausartung"
"584","Ausbauchung"
"585","Ausbesserung"
"586","Ausbeuterklasse"
"587","Ausbeutung"
"588","Ausbildung"
"589","Ausbreitung"
"590","Ausbuergerung"
"591","Ausdauer"
"592","Ausdehnung"
"593","Ausdruckskunst"
"594","Ausdrucksweise"
"595","Ausduenstung"
"596","Auseinandersetzung"
"597","Ausfahrt"
"598","Ausfallstrasse"
"599","Ausfertigung"
"600","Ausflucht"
"601","Ausformung"
"602","Ausfuehrlichkeit"
"603","Ausfuehrung"
"604","Ausfuehrungsbestimmung"
"605","Ausfuellung"
"606","Ausfuhr"
"607","Ausgabe"
"608","Ausgabestelle"
"609","Ausgangsbasis"
"610","Ausgangsstellung"
"611","Ausgeburt"
"612","Ausgeglichenheit"
"613","Ausgelassenheit"
"614","Ausgestaltung"
"615","Ausgrabung"
"616","Aushaendigung"
"617","Aushebung"
"618","Ausheilung"
"619","Aushilfe"
"620","Aushilfskraft"
"621","Aushoehlung"
"622","Ausklammerung"
"623","Auskunft"
"624","Auskunftei"
"625","Auskunftsstelle"
"626","Auslage"
"627","Auslagerung"
"628","Auslandsreise"
"629","Auslandsvertretung"
"630","Auslassung"
"631","Auslastung"
"632","Auslegung"
"633","Ausleihe"
"634","Ausleihung"
"635","Auslese"
"636","Auslieferung"
"637","Auslinie"
"638","Ausloesung"
"639","Auslosung"
"640","Ausmalung"
"641","Ausmerzung"
"642","Ausmuenzung"
"643","Ausmusterung"
"644","Ausnahme"
"645","Ausnuechterung"
"646","Ausnuetzung"
"647","Ausnutzung"
"648","Auspeitschung"
"649","Auspluenderung"
"650","Auspraegung"
"651","Ausraeumung"
"652","Ausrede"
"653","Ausreise"
"654","Ausreisegenehmigung"
"655","Ausrenkung"
"656","Ausrichtung"
"657","Ausrottung"
"658","Ausruestung"
"659","Ausrufung"
"660","Aussaat"
"661","Aussage"
"662","Aussagekraft"
"663","Aussageweise"
"664","Ausschachtung"
"665","Ausschaltung"
"666","Ausschau"
"667","Ausscheidung"
"668","Ausschiffung"
"669","Ausschlachtung"
"670","Ausschliesslichkeit"
"671","Ausschliessung"
"672","Ausschoepfung"
"673","Ausschreibung"
"674","Ausschreitung"
"675","Ausschweifung"
"676","Aussenantenne"
"677","Aussenaufnahme"
"678","Aussendung"
"679","Aussenhandelspolitik"
"680","Aussenpolitik"
"681","Aussenseite"
"682","Aussenstelle"
"683","Aussentemperatur"
"684","Aussentuer"
"685","Aussenwand"
"686","Aussenwelt"
"687","Aussetzung"
"688","Aussicht"
"689","Aussichtslosigkeit"
"690","Aussiedlung"
"691","Aussoehnung"
"692","Aussonderung"
"693","Ausspannung"
"694","Aussparung"
"695","Aussperrung"
"696","Ausspielung"
"697","Aussprache"
"698","Ausstaffierung"
"699","Ausstattung"
"700","Ausstellung"
"701","Ausstellungsflaeche"
"702","Aussteuer"
"703","Aussteuerung"
"704","Ausstrahlung"
"705","Ausstrahlungskraft"
"706","Austeilung"
"707","Auster"
"708","Austragung"
"709","Austreibung"
"710","Austrittserklaerung"
"711","Ausuebung"
"712","Auswahl"
"713","Auswahlmannschaft"
"714","Auswanderung"
"715","Auswaschung"
"716","Auswechslung"
"717","Ausweglosigkeit"
"718","Ausweiche"
"719","Ausweichmoeglichkeit"
"720","Ausweichstelle"
"721","Ausweisung"
"722","Ausweitung"
"723","Auswertung"
"724","Auswinterung"
"725","Auswirkung"
"726","Auszaehlung"
"727","Auszahlung"
"728","Auszehrung"
"729","Auszeichnung"
"730","Authentizitaet"
"731","Autobahn"
"732","Autobiographie"
"733","Autoindustrie"
"734","Autokarte"
"735","Automarke"
"736","Automatik"
"737","Automation"
"738","Automatisierung"
"739","Automobilindustrie"
"740","Autonomie"
"741","Autorin"
"742","Autoritaet"
"743","Autorschaft"
"744","Autosuggestion"
"745","Autowerkstatt"
"746","Axt"
"747","Azalee"
"748","Bache"
"749","Back"
"750","Backware"
"751","Badeanstalt"
"752","Badehose"
"753","Badesaison"
"754","Badewanne"
"755","Badezeit"
"756","Baerenklau"
"757","Baeuerin"
"758","Bahn"
"759","Bahnhofshalle"
"760","Bahnlinie"
"761","Bahre"
"762","Bakterie"
"763","Balance"
"764","Ballade"
"765","Ballerina"
"766","Ballerine"
"767","Ballistik"
"768","Ballnacht"
"769","Ballonmuetze"
"770","Ballung"
"771","Banane"
"772","Band"
"773","Bandbreite"
"774","Bande"
"775","Bank"
"776","Banknote"
"777","Bankrotterklaerung"
"778","Bar"
"779","Bardame"
"780","Barde"
"781","Barkasse"
"782","Barke"
"783","Barmherzigkeit"
"784","Barre"
"785","Barrikade"
"786","Barschaft"
"787","Barzahlung"
"788","Bastei"
"789","Bauart"
"790","Bauaufsicht"
"791","Bauchbinde"
"792","Bauchhoehle"
"793","Bauchlandung"
"794","Bauchspeicheldruese"
"795","Bauernschaft"
"796","Bauersfrau"
"797","Baufirma"
"798","Baugenehmigung"
"799","Baugenossenschaft"
"800","Baugrube"
"801","Bauhuette"
"802","Baukunst"
"803","Baulichkeit"
"804","Baumaschine"
"805","Baumbluete"
"806","Baumwolle"
"807","Baumwollspinnerei"
"808","Bauordnung"
"809","Bausparkasse"
"810","Baustelle"
"811","Bauweise"
"812","Bazille"
"813","Beachtung"
"814","Beamtenbeleidigung"
"815","Beamtenschaft"
"816","Beamtin"
"817","Beanspruchung"
"818","Beanstandung"
"819","Beantragung"
"820","Beantwortung"
"821","Bearbeitung"
"822","Beaufsichtigung"
"823","Beauftragung"
"824","Bebauung"
"825","Bedachung"
"826","Bedenklichkeit"
"827","Bedenkzeit"
"828","Bedeutsamkeit"
"829","Bedeutung"
"830","Bedeutungslosigkeit"
"831","Bedienung"
"832","Bedingtheit"
"833","Bedingung"
"834","Bedraengnis"
"835","Bedraengung"
"836","Bedrohung"
"837","Beduerfnisanstalt"
"838","Beduerftigkeit"
"839","Beeinflussung"
"840","Beeintraechtigung"
"841","Beendigung"
"842","Beengung"
"843","Beerdigung"
"844","Beere"
"845","Befaehigung"
"846","Befangenheit"
"847","Befehlsausgabe"
"848","Befehlsgewalt"
"849","Befestigung"
"850","Befestigungsanlage"
"851","Befeuerung"
"852","Befoerderung"
"853","Befolgung"
"854","Befrachtung"
"855","Befragung"
"856","Befreiung"
"857","Befreiungsbewegung"
"858","Befriedigung"
"859","Befristung"
"860","Befruchtung"
"861","Befuerchtung"
"862","Befuerwortung"
"863","Befugnis"
"864","Begabtenfoerderung"
"865","Begabung"
"866","Begebenheit"
"867","Begegnung"
"868","Begeisterung"
"869","Begier"
"870","Begierde"
"871","Beglaubigung"
"872","Begleichung"
"873","Begleiterin"
"874","Begleiterscheinung"
"875","Begleitung"
"876","Begnadigung"
"877","Begonie"
"878","Begradigung"
"879","Begrenzung"
"880","Begruendung"
"881","Begruessung"
"882","Begutachtung"
"883","Behaglichkeit"
"884","Behandlung"
"885","Beharrung"
"886","Behauptung"
"887","Behausung"
"888","Behebung"
"889","Behendigkeit"
"890","Beherrschung"
"891","Beherzigung"
"892","Behinderung"
"893","Behoerde"
"894","Behutsamkeit"
"895","Beichte"
"896","Beifallskundgebung"
"897","Beifuegung"
"898","Beigabe"
"899","Beihilfe"
"900","Beilaeufigkeit"
"901","Beilage"
"902","Beiordnung"
"903","Beisetzung"
"904","Beitreibung"
"905","Bejahung"
"906","Bekaempfung"
"907","Bekanntgabe"
"908","Bekanntmachung"
"909","Bekehrung"
"910","Bekleidung"
"911","Bekleidungsindustrie"
"912","Beklemmung"
"913","Beklommenheit"
"914","Bekraeftigung"
"915","Bekuemmerung"
"916","Bekundung"
"917","Belaestigung"
"918","Belagerung"
"919","Belanglosigkeit"
"920","Belastung"
"921","Belastungsgrenze"
"922","Belastungsprobe"
"923","Belebung"
"924","Belegschaft"
"925","Belegung"
"926","Belehrung"
"927","Beleidigung"
"928","Beleuchtung"
"929","Belichtung"
"930","Beliebtheit"
"931","Belieferung"
"932","Belobigung"
"933","Belohnung"
"934","Belueftung"
"935","Bemalung"
"936","Bemerkung"
"937","Bemessung"
"938","Bemuehung"
"939","Benachrichtigung"
"940","Benachteiligung"
"941","Benennung"
"942","Benommenheit"
"943","Benotung"
"944","Benuetzung"
"945","Benutzung"
"946","Beobachtung"
"947","Bepflanzung"
"948","Bequemlichkeit"
"949","Beratung"
"950","Beratungsstelle"
"951","Beraubung"
"952","Berechnung"
"953","Berechtigung"
"954","Beredsamkeit"
"955","Bereicherung"
"956","Bereifung"
"957","Bereinigung"
"958","Bereitschaft"
"959","Bereitstellung"
"960","Bereitung"
"961","Bergbahn"
"962","Bergkette"
"963","Bergpredigt"
"964","Bergung"
"965","Bergwacht"
"966","Berichterstattung"
"967","Berichtigung"
"968","Berieselung"
"969","Berieselungsanlage"
"970","Beruecksichtigung"
"971","Beruehmtheit"
"972","Beruehrung"
"973","Berufsausbildung"
"974","Berufsbildung"
"975","Berufserfahrung"
"976","Berufung"
"977","Berufungsinstanz"
"978","Besamung"
"979","Besatzung"
"980","Beschaedigung"
"981","Beschaeftigung"
"982","Beschaffenheit"
"983","Beschaffung"
"984","Beschattung"
"985","Bescheidenheit"
"986","Bescheinigung"
"987","Beschilderung"
"988","Beschlagnahme"
"989","Beschleunigung"
"990","Beschlussfassung"
"991","Beschneidung"
"992","Beschraenktheit"
"993","Beschraenkung"
"994","Beschreibung"
"995","Beschuldigung"
"996","Beschulung"
"997","Beschwerde"
"998","Beschwernis"
"999","Beschwoerung"
"1000","Beseitigung"
"1001","Besenkammer"
"1002","Besetzung"
"1003","Besichtigung"
"1004","Besiedlung"
"1005","Besinnung"
"1006","Besitzlosigkeit"
"1007","Besoldung"
"1008","Besonderheit"
"1009","Besonnenheit"
"1010","Besorgnis"
"1011","Besorgtheit"
"1012","Besorgung"
"1013","Besprechung"
"1014","Besserung"
"1015","Bestaendigkeit"
"1016","Bestaetigung"
"1017","Bestallung"
"1018","Bestandsaufnahme"
"1019","Bestattung"
"1020","Bestechung"
"1021","Besteigung"
"1022","Bestellung"
"1023","Besteuerung"
"1024","Bestialitaet"
"1025","Bestie"
"1026","Bestimmung"
"1027","Bestrafung"
"1028","Bestrahlung"
"1029","Bestrebung"
"1030","Betaetigung"
"1031","Beteiligung"
"1032","Beteuerung"
"1033","Betonung"
"1034","Betrachtung"
"1035","Betrachtungsweise"
"1036","Betreuung"
"1037","Betriebsamkeit"
"1038","Bettwaesche"
"1039","Beule"
"1040","Beurteilung"
"1041","Beute"
"1042","Bevoelkerung"
"1043","Bevoelkerungsdichte"
"1044","Bevormundung"
"1045","Bevorzugung"
"1046","Bewaehrung"
"1047","Bewaeltigung"
"1048","Bewegung"
"1049","Bewegungsfreiheit"
"1050","Beweisaufnahme"
"1051","Beweisfuehrung"
"1052","Bewerbung"
"1053","Bewertung"
"1054","Bewilligung"
"1055","Bewirtung"
"1056","Bewunderung"
"1057","Bewusstheit"
"1058","Bewusstlosigkeit"
"1059","Bewusstseinsbildung"
"1060","Bezahlung"
"1061","Bezauberung"
"1062","Bezeichnung"
"1063","Bezichtigung"
"1064","Beziehung"
"1065","Bezogenheit"
"1066","Bezugnahme"
"1067","Bibel"
"1068","Biederkeit"
"1069","Biege"
"1070","Biegung"
"1071","Biene"
"1072","Bildung"
"1073","Bildungsarbeit"
"1074","Bildungseinrichtung"
"1075","Bildungsforschung"
"1076","Bildungsplanung"
"1077","Bildungspolitik"
"1078","Binde"
"1079","Bindung"
"1080","Binge"
"1081","Binse"
"1082","Binsenwahrheit"
"1083","Biochemie"
"1084","Biographie"
"1085","Biologie"
"1086","Biosphaere"
"1087","Birke"
"1088","Birne"
"1089","Bisamratte"
"1090","Bitte"
"1091","Bitterkeit"
"1092","Bitternis"
"1093","Blaesse"
"1094","Blaeue"
"1095","Blase"
"1096","Blaubeere"
"1097","Blechbuechse"
"1098","Blechdose"
"1099","Blechmusik"
"1100","Bleibe"
"1101","Bleiche"
"1102","Bleichsucht"
"1103","Blende"
"1104","Blessur"
"1105","Blickrichtung"
"1106","Blinddarmentzuendung"
"1107","Blindenschrift"
"1108","Blindheit"
"1109","Blitzlichtaufnahme"
"1110","Blockfloete"
"1111","Bloedelei"
"1112","Bloedheit"
"1113","Bloesse"
"1114","Blondine"
"1115","Bluete"
"1116","Bluetezeit"
"1117","Blume"
"1118","Bluse"
"1119","Blutader"
"1120","Blutbahn"
"1121","Blutgruppe"
"1122","Blutkonserve"
"1123","Blutprobe"
"1124","Blutschande"
"1125","Blutsenkung"
"1126","Bluttat"
"1127","Blutung"
"1128","Blutwurst"
"1129","Bockwurst"
"1130","Bodenbearbeitung"
"1131","Bodenreform"
"1132","Bodenspekulation"
"1133","Boee"
"1134","Boerse"
"1135","Boersenspekulation"
"1136","Boesartigkeit"
"1137","Boeschung"
"1138","Bogenlampe"
"1139","Bohle"
"1140","Bohne"
"1141","Bohnenstange"
"1142","Bohrung"
"1143","Boje"
"1144","Bombardierung"
"1145","Bombe"
"1146","Bombenstimmung"
"1147","Bordzeitung"
"1148","Borke"
"1149","Borste"
"1150","Borte"
"1151","Botin"
"1152","Botschaft"
"1153","Bourgeoisie"
"1154","Bowle"
"1155","Box"
"1156","Brache"
"1157","Braeune"
"1158","Bram"
"1159","Bramme"
"1160","Brandblase"
"1161","Brandung"
"1162","Brandwunde"
"1163","Branntweinsteuer"
"1164","Bratpfanne"
"1165","Bratsche"
"1166","Bratwurst"
"1167","Braue"
"1168","Brauerei"
"1169","Braunkohle"
"1170","Brause"
"1171","Braut"
"1172","Breche"
"1173","Brechung"
"1174","Breite"
"1175","Breitseite"
"1176","Breme"
"1177","Bremse"
"1178","Bremsspur"
"1179","Brennerei"
"1180","Brennnessel"
"1181","Briefkarte"
"1182","Briefmarke"
"1183","Brieftasche"
"1184","Brieftaube"
"1185","Brillantine"
"1186","Brillanz"
"1187","Brille"
"1188","Brisanz"
"1189","Brise"
"1190","Brombeere"
"1191","Bronchie"
"1192","Bronze"
"1193","Brosche"
"1194","Bruchlandung"
"1195","Bruchstelle"
"1196","Bruderschaft"
"1197","Bruechigkeit"
"1198","Bruehe"
"1199","Brunft"
"1200","Brunst"
"1201","Brunstzeit"
"1202","Brust"
"1203","Brut"
"1204","Brutalitaet"
"1205","Buche"
"1206","Bucht"
"1207","Buchung"
"1208","Bude"
"1209","Buecherei"
"1210","Buechse"
"1211","Buehne"
"1212","Buerde"
"1213","Buergschaft"
"1214","Buerokratie"
"1215","Buerste"
"1216","Buett"
"1217","Buette"
"1218","Buhle"
"1219","Bulle"
"1220","Bummel"
"1221","Bummelei"
"1222","Bundesanstalt"
"1223","Burg"
"1224","Bushaltestelle"
"1225","Butter"
"1226","Butterblume"
"1227","Buttermilch"
"1228","Charakteristik"
"1229","Chemie"
"1230","Chirurgie"
"1231","Christenheit"
"1232","Christenverfolgung"
