"","unique.ger_fem...1.."
"2169","Gedaechtnisstoerung"
"2170","Gedankenfreiheit"
"2171","Gedankenlosigkeit"
"2172","Gedankenuebertragung"
"2173","Gediegenheit"
"2174","Geduld"
"2175","Geeignetheit"
"2176","Gefaehrdung"
"2177","Gefaehrlichkeit"
"2178","Gefaelligkeit"
"2179","Gefaengnisstrafe"
"2180","Gefahr"
"2181","Gefahrlosigkeit"
"2182","Gefangenenbefreiung"
"2183","Gefangennahme"
"2184","Gefangenschaft"
"2185","Gefolgschaft"
"2186","Gefuehllosigkeit"
"2187","Gegebenheit"
"2188","Gegend"
"2189","Gegendarstellung"
"2190","Gegenfrage"
"2191","Gegenleistung"
"2192","Gegenliebe"
"2193","Gegenreformation"
"2194","Gegensaetzlichkeit"
"2195","Gegenseitigkeit"
"2196","Gegenstaendlichkeit"
"2197","Gegenstimme"
"2198","Gegenwart"
"2199","Gegenwartskunde"
"2200","Gegenwehr"
"2201","Gegenwirkung"
"2202","Geheimhaltung"
"2203","Geheimniskraemerei"
"2204","Geheimnistuerei"
"2205","Geheimpolizei"
"2206","Geheimwaffe"
"2207","Gehemmtheit"
"2208","Gehirnerschuetterung"
"2209","Gehirnwaesche"
"2210","Geige"
"2211","Geiselnahme"
"2212","Geissel"
"2213","Geisterbahn"
"2214","Geistesgegenwart"
"2215","Geisteskrankheit"
"2216","Geistigkeit"
"2217","Geistlichkeit"
"2218","Gelaeufigkeit"
"2219","Gelassenheit"
"2220","Gelatine"
"2221","Gelbsucht"
"2222","Geldgier"
"2223","Gelegenheit"
"2224","Gelehrsamkeit"
"2225","Gelenkigkeit"
"2226","Geltung"
"2227","Gemaechlichkeit"
"2228","Gemahlin"
"2229","Gemeinde"
"2230","Gemeindeverwaltung"
"2231","Gemeinheit"
"2232","Gemeinsamkeit"
"2233","Gemeinschaft"
"2234","Gemse"
"2235","Gemuetsruhe"
"2236","Genauigkeit"
"2237","Genehmigung"
"2238","Generalitaet"
"2239","Generalprobe"
"2240","Generalversammlung"
"2241","Generation"
"2242","Generositaet"
"2243","Genesung"
"2244","Genetik"
"2245","Genialitaet"
"2246","Genossenschaft"
"2247","Genuege"
"2248","Genugtuung"
"2249","Geographie"
"2250","Geologie"
"2251","Geometrie"
"2252","Gepaeckaufbewahrung"
"2253","Gepflegtheit"
"2254","Gepflogenheit"
"2255","Gerade"
"2256","Geranie"
"2257","Gerberei"
"2258","Gerechtigkeit"
"2259","Geringfuegigkeit"
"2260","Geringschaetzung"
"2261","Gerissenheit"
"2262","Gerontologie"
"2263","Gerste"
"2264","Gerte"
"2265","Gesandtschaft"
"2266","Geschaeftszeit"
"2267","Gescheitheit"
"2268","Geschichte"
"2269","Geschicklichkeit"
"2270","Geschlossenheit"
"2271","Geschwaetzigkeit"
"2272","Geschwindigkeit"
"2273","Geschwister"
"2274","Geschwulst"
"2275","Geselligkeit"
"2276","Gesellschaft"
"2277","Gesetzgebung"
"2278","Gesetzmaessigkeit"
"2279","Gesinnung"
"2280","Gesittung"
"2281","Gespielin"
"2282","Gestalt"
"2283","Gestaltung"
"2284","Gestaltungsmoeglichkeit"
"2285","Geste"
"2286","Gesundheit"
"2287","Gesundung"
"2288","Geuebtheit"
"2289","Gewaehr"
"2290","Gewaehrleistung"
"2291","Gewaehrung"
"2292","Gewagtheit"
"2293","Gewalt"
"2294","Gewaltanwendung"
"2295","Gewaltmassnahme"
"2296","Gewaltsamkeit"
"2297","Gewalttaetigkeit"
"2298","Gewandtheit"
"2299","Gewerkschaft"
"2300","Gewichtung"
"2301","Gewinnsucht"
"2302","Gewinnung"
"2303","Gewissenhaftigkeit"
"2304","Gewissenlosigkeit"
"2305","Gewissensfrage"
"2306","Gewissheit"
"2307","Gewitterwolke"
"2308","Gewoehnlichkeit"
"2309","Gewoehnung"
"2310","Gewohnheit"
"2311","Gicht"
"2312","Gier"
"2313","Giesserei"
"2314","Giessform"
"2315","Giesskanne"
"2316","Giessmaschine"
"2317","Gift"
"2318","Giftigkeit"
"2319","Giftschlange"
"2320","Gipfelkonferenz"
"2321","Gipsbueste"
"2322","Gitarre"
"2323","Glaette"
"2324","Glaserei"
"2325","Glastuer"
"2326","Glaswolle"
"2327","Glatze"
"2328","Glaubensgemeinschaft"
"2329","Glaubhaftigkeit"
"2330","Glaubwuerdigkeit"
"2331","Gleichberechtigung"
"2332","Gleiche"
"2333","Gleichfoermigkeit"
"2334","Gleichgewichtsstoerung"
"2335","Gleichgueltigkeit"
"2336","Gleichheit"
"2337","Gleichmaessigkeit"
"2338","Gleichstellung"
"2339","Gleichung"
"2340","Gleichwertigkeit"
"2341","Gleichzeitigkeit"
"2342","Gletscherspalte"
"2343","Gliederung"
"2344","Glosse"
"2345","Gluckhenne"
"2346","Gluecksache"
"2347","Glueckseligkeit"
"2348","Gluehbirne"
"2349","Gluehlampe"
"2350","Glut"
"2351","Gluthitze"
"2352","Gnade"
"2353","Goetterdaemmerung"
"2354","Goettin"
"2355","Goldmedaille"
"2356","Goldmine"
"2357","Goldmuenze"
"2358","Goldwaehrung"
"2359","Gondel"
"2360","Gote"
"2361","Gottesfurcht"
"2362","Gottesgabe"
"2363","Gottesmutter"
"2364","Gottheit"
"2365","Gottlosigkeit"
"2366","Grabkammer"
"2367","Grabrede"
"2368","Grabstaette"
"2369","Grabung"
"2370","Gracht"
"2371","Gradeinteilung"
"2372","Graefin"
"2373","Graesslichkeit"
"2374","Graete"
"2375","Grafik"
"2376","Gralsburg"
"2377","Grammatik"
"2378","Granate"
"2379","Graphik"
"2380","Grasflaeche"
"2381","Grassteppe"
"2382","Gratifikation"
"2383","Gratulation"
"2384","Grausamkeit"
"2385","Gravierung"
"2386","Gravitation"
"2387","Grazie"
"2388","Grenze"
"2389","Grenzlinie"
"2390","Grenzverletzung"
"2391","Grille"
"2392","Grippe"
"2393","Grobheit"
"2394","Groesse"
"2395","Groessenordnung"
"2396","Grossartigkeit"
"2397","Grossaufnahme"
"2398","Grossfamilie"
"2399","Grossherzigkeit"
"2400","Grossmacht"
"2401","Grossmachtpolitik"
"2402","Grossmut"
"2403","Grossmutter"
"2404","Grossschreibung"
"2405","Grossstadt"
"2406","Grosstuerei"
"2407","Grossveranstaltung"
"2408","Grosszuegigkeit"
"2409","Groteske"
"2410","Grotte"
"2411","Grube"
"2412","Gruenalge"
"2413","Gruendlichkeit"
"2414","Gruendung"
"2415","Gruene"
"2416","Gruenflaeche"
"2417","Grundausbildung"
"2418","Grundausstattung"
"2419","Grundbedeutung"
"2420","Grundbedingung"
"2421","Grunderwerbsteuer"
"2422","Grundgebuehr"
"2423","Grundlage"
"2424","Grundlagenforschung"
"2425","Grundlinie"
"2426","Grundmauer"
"2427","Grundordnung"
"2428","Grundregel"
"2429","Grundrente"
"2430","Grundsatzerklaerung"
"2431","Grundschule"
"2432","Grundsteinlegung"
"2433","Grundstufe"
"2434","Gruppe"
"2435","Gruppenaufnahme"
"2436","Gruppierung"
"2437","Gueltigkeit"
"2438","Guete"
"2439","Gueterabfertigung"
"2440","Guetertrennung"
"2441","Guillotine"
"2442","Gunst"
"2443","Gurgel"
"2444","Gurke"
"2445","Gutglaeubigkeit"
"2446","Gutmuetigkeit"
"2447","Gutschrift"
"2448","Gymnasialklasse"
"2449","Gymnastik"
"2450","Haaresbreite"
"2451","Haarfarbe"
"2452","Haarspalterei"
"2453","Habe"
"2454","Habenseite"
"2455","Habgier"
"2456","Habilitation"
"2457","Habseligkeit"
"2458","Habsucht"
"2459","Haekelnadel"
"2460","Haelfte"
"2461","Haemorrhoide"
"2462","Haengematte"
"2463","Haeresie"
"2464","Haerte"
"2465","Haesslichkeit"
"2466","Haeufigkeit"
"2467","Haeufung"
"2468","Haeuslichkeit"
"2469","Haeutung"
"2470","Hafenstadt"
"2471","Haft"
"2472","Haftentlassung"
"2473","Haftpflicht"
"2474","Haftpflichtversicherung"
"2475","Haftung"
"2476","Hagebuche"
"2477","Hagebutte"
"2478","Hakennase"
"2479","Halbierung"
"2480","Halbinsel"
"2481","Halbtagsarbeit"
"2482","Halde"
"2483","Halfter"
"2484","Hall"
"2485","Halle"
"2486","Halluzination"
"2487","Halsentzuendung"
"2488","Halskette"
"2489","Halsschlagader"
"2490","Halsstarrigkeit"
"2491","Halsweite"
"2492","Haltbarkeit"
"2493","Haltestelle"
"2494","Haltlosigkeit"
"2495","Haltung"
"2496","Hand"
"2497","Handarbeit"
"2498","Handbreit"
"2499","Handbremse"
"2500","Handelsbank"
"2501","Handelsgesellschaft"
"2502","Handelskammer"
"2503","Handgranate"
"2504","Handgreiflichkeit"
"2505","Handhabung"
"2506","Handlung"
"2507","Handlungsfreiheit"
"2508","Handlungsweise"
"2509","Handreichung"
"2510","Handschrift"
"2511","Handtasche"
"2512","Handvoll"
"2513","Hansestadt"
"2514","Hantel"
"2515","Harfe"
"2516","Harke"
"2517","Harmlosigkeit"
"2518","Harmonie"
"2519","Harmonisierung"
"2520","Harpune"
"2521","Haselnuss"
"2522","Hast"
"2523","Haube"
"2524","Haubitze"
"2525","Haue"
"2526","Hauptfigur"
"2527","Hauptperson"
"2528","Hauptrolle"
"2529","Hauptsache"
"2530","Hauptschuld"
"2531","Hauptschule"
"2532","Hauptstadt"
"2533","Hauptstrasse"
"2534","Hauptverhandlung"
"2535","Hauptverkehrsstrasse"
"2536","Hauptversammlung"
"2537","Hausangestellte"
"2538","Hausfrau"
"2539","Hausgemeinschaft"
"2540","Haushaelterin"
"2541","Haushaltsfuehrung"
"2542","Haushaltskasse"
"2543","Haushaltung"
"2544","Haushaltungsschule"
"2545","Hausmannskost"
"2546","Hausnummer"
"2547","Hausordnung"
"2548","Hausratversicherung"
"2549","Haussuchung"
"2550","Haustuer"
"2551","Hauswirtschaft"
"2552","Haut"
"2553","Hautfarbe"
"2554","Hautkrankheit"
"2555","Havarie"
"2556","Haxe"
"2557","Hebamme"
"2558","Hebebuehne"
"2559","Hebung"
"2560","Heeresgruppe"
"2561","Heeresleitung"
"2562","Hefe"
"2563","Heftigkeit"
"2564","Hehlerei"
"2565","Heide"
"2566","Heidelbeere"
"2567","Heilanstalt"
"2568","Heilanzeige"
"2569","Heiligenfigur"
"2570","Heiligkeit"
"2571","Heiligung"
"2572","Heilkunde"
"2573","Heilpflanze"
"2574","Heilquelle"
"2575","Heilslehre"
"2576","Heilstaette"
"2577","Heilung"
"2578","Heimarbeit"
"2579","Heimat"
"2580","Heimaterde"
"2581","Heimatkunde"
"2582","Heimatlosigkeit"
"2583","Heimfahrt"
"2584","Heimkehr"
"2585","Heimlichkeit"
"2586","Heimlichtuerei"
"2587","Heimreise"
"2588","Heimstaette"
"2589","Heimsuchung"
"2590","Heirat"
"2591","Heiratsanzeige"
"2592","Heiserkeit"
"2593","Heiterkeit"
"2594","Heizanlage"
"2595","Heizung"
"2596","Heizungsanlage"
"2597","Hektik"
"2598","Heldentat"
"2599","Helferin"
"2600","Helle"
"2601","Hellebarde"
"2602","Hemisphaere"
"2603","Hemmung"
"2604","Hemmungslosigkeit"
"2605","Henne"
"2606","Herablassung"
"2607","Herabsetzung"
"2608","Herabwuerdigung"
"2609","Herausarbeitung"
"2610","Herausbildung"
"2611","Herausforderung"
"2612","Herausgabe"
"2613","Herberge"
"2614","Herbheit"
"2615","Herbstzeit"
"2616","Herbstzeitlose"
"2617","Herde"
"2618","Herkunft"
"2619","Hermeneutik"
"2620","Heroin"
"2621","Herrenbekleidung"
"2622","Herrin"
"2623","Herrlichkeit"
"2624","Herrschaft"
"2625","Herrscherin"
"2626","Herrschsucht"
"2627","Herstellerfirma"
"2628","Herstellung"
"2629","Herzensguete"
"2630","Herzkammer"
"2631","Herzlichkeit"
"2632","Herzlosigkeit"
"2633","Herzogin"
"2634","Hetzerei"
"2635","Hetzjagd"
"2636","Hetzrede"
"2637","Heuchelei"
"2638","Heuer"
"2639","Heuernte"
"2640","Heugabel"
"2641","Hexe"
"2642","Hexenjagd"
"2643","Hexerei"
"2644","Hierarchie"
"2645","Hilfe"
"2646","Hilfeleistung"
"2647","Hilfestellung"
"2648","Hilflosigkeit"
"2649","Hilfsbereitschaft"
"2650","Hilfskraft"
"2651","Hilfsschule"
"2652","Himbeere"
"2653","Himmelfahrt"
"2654","Himmelsrichtung"
"2655","Hinfaelligkeit"
"2656","Hinfahrt"
"2657","Hingabe"
"2658","Hingebung"
"2659","Hinnahme"
"2660","Hinreise"
"2661","Hinrichtung"
"2662","Hinsicht"
"2663","Hinterhaeltigkeit"
"2664","Hinterhand"
"2665","Hinterlassenschaft"
"2666","Hinterlegung"
"2667","Hintertuer"
"2668","Hinwendung"
"2669","Hinzufuegung"
"2670","Hippe"
"2671","Hirnhautentzuendung"
"2672","Hirse"
"2673","Histologie"
"2674","Historik"
"2675","Hitze"
"2676","Hitzewelle"
"2677","Hochachtung"
"2678","Hochbahn"
"2679","Hochbluete"
"2680","Hochburg"
"2681","Hochebene"
"2682","Hochfinanz"
"2683","Hochkonjunktur"
"2684","Hochkultur"
"2685","Hochleistung"
"2686","Hochsaison"
"2687","Hochschaetzung"
"2688","Hochschule"
"2689","Hochsee"
"2690","Hochseefischerei"
"2691","Hochspannung"
"2692","Hochspannungsleitung"
"2693","Hochsprache"
"2694","Hochstapelei"
"2695","Hochstimmung"
"2696","Hochstrasse"
"2697","Hochtour"
"2698","Hochzeit"
"2699","Hochzeitsfeier"
"2700","Hochzeitsnacht"
"2701","Hochzeitsreise"
"2702","Hoechstgeschwindigkeit"
"2703","Hoechstleistung"
"2704","Hoeflichkeit"
"2705","Hoeflichkeitsfloskel"
"2706","Hoehe"
"2707","Hoehenlage"
"2708","Hoeherentwicklung"
"2709","Hoehle"
"2710","Hoehlenmalerei"
"2711","Hoehlung"
"2712","Hoelle"
"2713","Hoellenmaschine"
"2714","Hoerigkeit"
"2715","Hoermuschel"
"2716","Hoerweite"
"2717","Hofdame"
"2718","Hoffaehigkeit"
"2719","Hoffart"
"2720","Hoffnung"
"2721","Hoffnungslosigkeit"
"2722","Hofhaltung"
"2723","Hoheit"
"2724","Holographie"
"2725","Holzkohle"
"2726","Holzung"
"2727","Homogenitaet"
"2728","Homosexualitaet"
"2729","Honorierung"
"2730","Horde"
"2731","Hormonbehandlung"
"2732","Hornbrille"
"2733","Hornhaut"
"2734","Hornisse"
"2735","Hose"
"2736","Hosentasche"
"2737","Hostie"
"2738","Huefte"
"2739","Huegelkette"
"2740","Huehnerbruehe"
"2741","Huelle"
"2742","Huelse"
"2743","Huendin"
"2744","Huerde"
"2745","Huette"
"2746","Huettenindustrie"
"2747","Huld"
"2748","Huldigung"
"2749","Humanisierung"
"2750","Humanitaet"
"2751","Humoreske"
"2752","Hundertjahrfeier"
"2753","Hundertschaft"
"2754","Hundeschnauze"
"2755","Hundesteuer"
"2756","Hungerkur"
"2757","Hungersnot"
"2758","Hupe"
"2759","Hure"
"2760","Hurerei"
"2761","Hut"
"2762","Hyaene"
"2763","Hybris"
"2764","Hydraulik"
"2765","Hygiene"
"2766","Hymne"
"2767","Hypertrophie"
"2768","Hypothekenbank"
"2769","Hysterie"
"2770","Idealisierung"
"2771","Idee"
"2772","Ideenlosigkeit"
"2773","Ideenwelt"
"2774","Identifikation"
"2775","Identifizierung"
"2776","Ideologe"
"2777","Ideologie"
"2778","Idiosynkrasie"
"2779","Idiotin"
"2780","Idylle"
"2781","Ignoranz"
"2782","Ikone"
"2783","Illegalitaet"
"2784","Illegitimitaet"
"2785","Illiquiditaet"
"2786","Illoyalitaet"
"2787","Illumination"
"2788","Illustration"
"2789","Illustrierte"
"2790","Imagination"
"2791","Imago"
"2792","Imitation"
"2793","Immatrikulation"
"2794","Immobilie"
"2795","Immoralitaet"
"2796","Immunitaet"
"2797","Impfung"
"2798","Implikation"
"2799","Impotenz"
"2800","Impraegnierung"
"2801","Improvisation"
"2802","Impulsivitaet"
"2803","Inaktivitaet"
"2804","Inbrunst"
"2805","Indifferenz"
"2806","Indikation"
"2807","Indiskretion"
"2808","Individualisierung"
"2809","Individualitaet"
"2810","Indoktrination"
"2811","Indoktrinierung"
"2812","Indolenz"
"2813","Induktion"
"2814","Industrialisierung"
"2815","Industrie"
"2816","Industrieanlage"
"2817","Industriegewerkschaft"
"2818","Infamie"
"2819","Infanterie"
"2820","Infektion"
"2821","Infektionskrankheit"
"2822","Infiltration"
"2823","Inflation"
"2824","Informatik"
"2825","Information"
"2826","Informationsquelle"
"2827","Infrastruktur"
"2828","Ingenieurakademie"
"2829","Inhaberin"
"2830","Inhaftierung"
"2831","Inhalation"
"2832","Inhaltsangabe"
"2833","Initiale"
"2834","Initialzuendung"
"2835","Initiation"
"2836","Initiative"
"2837","Injektion"
"2838","Injektionsspritze"
"2839","Inkarnation"
"2840","Inklination"
"2841","Inkompetenz"
"2842","Inkongruenz"
"2843","Inkonsequenz"
"2844","Inkorrektheit"
"2845","Innenarchitektur"
"2846","Innenaufnahme"
"2847","Innenausstattung"
"2848","Inneneinrichtung"
"2849","Innenflaeche"
"2850","Innenpolitik"
"2851","Innenseite"
"2852","Innenstadt"
"2853","Innentasche"
"2854","Innentemperatur"
"2855","Innenwelt"
"2856","Innerlichkeit"
"2857","Innigkeit"
"2858","Innovation"
"2859","Innung"
"2860","Inquisition"
"2861","Inschrift"
"2862","Insel"
"2863","Inselgruppe"
"2864","Insertion"
"2865","Insolvenz"
"2866","Inspektion"
"2867","Inspektionsfahrt"
"2868","Inspektionsreise"
"2869","Inspiration"
"2870","Instabilitaet"
"2871","Instaendigkeit"
"2872","Installation"
"2873","Instanz"
"2874","Institution"
"2875","Institutionalisierung"
"2876","Instruktion"
"2877","Instrumentalmusik"
"2878","Instrumentierung"
"2879","Inszenierung"
"2880","Integralrechnung"
"2881","Integration"
"2882","Integrierung"
"2883","Integritaet"
"2884","Intelligenz"
"2885","Intendanz"
"2886","Intensitaet"
"2887","Intensivierung"
"2888","Intensivstation"
"2889","Intention"
"2890","Interesselosigkeit"
"2891","Interessengemeinschaft"
"2892","Interessensphaere"
"2893","Interessenvertretung"
"2894","Interessiertheit"
"2895","Interferenz"
"2896","Internationale"
"2897","Internierung"
"2898","Interpellation"
"2899","Interpretation"
"2900","Interpunktion"
"2901","Intervention"
"2902","Inthronisation"
"2903","Intimitaet"
"2904","Intimsphaere"
"2905","Intoleranz"
"2906","Intonation"
"2907","Intrige"
"2908","Introspektion"
"2909","Intuition"
"2910","Invalidenrente"
"2911","Invalidenversicherung"
"2912","Invaliditaet"
"2913","Invariante"
"2914","Invarianz"
"2915","Invasion"
"2916","Invention"
"2917","Investierung"
"2918","Investition"
"2919","Inzucht"
"2920","Iris"
"2921","Ironie"
"2922","Irrealitaet"
"2923","Irrefuehrung"
"2924","Irrelevanz"
"2925","Irrenanstalt"
"2926","Irrfahrt"
"2927","Irritation"
"2928","Irrlehre"
"2929","Irrung"
"2930","Isolation"
"2931","Jacht"
"2932","Jaegerei"
"2933","Jagd"
"2934","Jagdflinte"
"2935","Jagdtrophaee"
"2936","Jahreszeit"
"2937","Jambe"
"2938","Jauche"
"2939","Jazzband"
"2940","Jazzmusik"
"2941","Jetztzeit"
"2942","Jolle"
"2943","Journalistik"
"2944","Journalistin"
"2945","Jubilaeumsausgabe"
"2946","Jubilarin"
"2947","Judenverfolgung"
"2948","Juedin"
"2949","Jugend"
"2950","Jugendbewegung"
"2951","Jugendkriminalitaet"
"2952","Jungfer"
"2953","Jungfernfahrt"
"2954","Jungfraeulichkeit"
"2955","Jungfrau"
"2956","Junggesellenbude"
"2957","Junta"
"2958","Jurisdiktion"
"2959","Jury"
"2960","Jus"
"2961","Justitia"
"2962","Justiz"
"2963","Justizbehoerde"
"2964","Jute"
"2965","Juxta"
"2966","Kabale"
"2967","Kabel"
"2968","Kabine"
"2969","Kabinettskrise"
"2970","Kachel"
"2971","Kaderabteilung"
"2972","Kaelte"
"2973","Kaeltewelle"
"2974","Kaempferin"
"2975","Kaeserei"
"2976","Kaffeebohne"
"2977","Kaffeekanne"
"2978","Kaffeemaschine"
"2979","Kaffeemuehle"
"2980","Kaffeetante"
"2981","Kahlheit"
"2982","Kaiserin"
"2983","Kaiserstadt"
"2984","Kajuete"
"2985","Kakaobohne"
"2986","Kaktee"
"2987","Kalbe"
"2988","Kaliindustrie"
"2989","Kalilauge"
"2990","Kalkulation"
"2991","Kalorie"
"2992","Kaltbluetigkeit"
"2993","Kaltfront"
"2994","Kamera"
"2995","Kameradschaft"
"2996","Kameradschaftlichkeit"
"2997","Kammer"
"2998","Kammermusik"
"2999","Kampagne"
"3000","Kampfabstimmung"
"3001","Kampfhandlung"
"3002","Kanalisation"
"3003","Kandidatur"
"3004","Kanne"
"3005","Kanone"
"3006","Kanonenkugel"
"3007","Kante"
"3008","Kanzel"
"3009","Kanzlei"
"3010","Kanzlerschaft"
"3011","Kapazitaet"
"3012","Kaperung"
"3013","Kapitalanlage"
"3014","Kapitalerhoehung"
"3015","Kapitalflucht"
"3016","Kapitalisierung"
"3017","Kapitulation"
"3018","Kappe"
"3019","Kapriole"
"3020","Kapsel"
"3021","Kapuze"
"3022","Karaffe"
"3023","Karbidlampe"
"3024","Kardinalzahl"
"3025","Kargheit"
"3026","Karikatur"
"3027","Karosse"
"3028","Karotte"
"3029","Karre"
"3030","Karriere"
"3031","Karte"
"3032","Kartei"
"3033","Karteikarte"
"3034","Kartoffel"
"3035","Kartothek"
"3036","Karwoche"
"3037","Kaserne"
"3038","Kaskade"
"3039","Kassa"
"3040","Kassation"
"3041","Kasse"
"3042","Kassette"
"3043","Kassiererin"
"3044","Kassierung"
"3045","Kastanie"
"3046","Kaste"
"3047","Kasteiung"
"3048","Kasuistik"
"3049","Katakombe"
"3050","Katastrophe"
"3051","Kategorie"
"3052","Kathedrale"
"3053","Kathode"
"3054","Katze"
"3055","Kaufkraft"
"3056","Kaufmannschaft"
"3057","Kausalitaet"
"3058","Kaution"
"3059","Kavalkade"
"3060","Kavallerie"
"3061","Keckheit"
"3062","Kegelbahn"
"3063","Kehle"
"3064","Kehre"
"3065","Kehrmaschine"
"3066","Kehrseite"
"3067","Kehrtwendung"
"3068","Keiferei"
"3069","Keilerei"
"3070","Keilschrift"
"3071","Keimzelle"
"3072","Kelle"
"3073","Kellertreppe"
"3074","Kellertuer"
"3075","Kellerwohnung"
"3076","Kellnerin"
"3077","Kelter"
"3078","Kelterei"
"3079","Kennkarte"
"3080","Kenntnis"
"3081","Kenntnisnahme"
"3082","Keramik"
"3083","Kerbe"
"3084","Kerkerstrafe"
"3085","Kernenergie"
"3086","Kernreaktion"
"3087","Kernspaltung"
"3088","Kerze"
"3089","Kette"
"3090","Kettenreaktion"
"3091","Keule"
"3092","Keuschheit"
"3093","Kiefer"
"3094","Kieferhoehle"
"3095","Kiellinie"
"3096","Kieme"
"3097","Kieselerde"
"3098","Kiesgrube"
"3099","Kilowattstunde"
"3100","Kinderkrankheit"
"3101","Kinderlaehmung"
"3102","Kinderlosigkeit"
"3103","Kippe"
"3104","Kirche"
"3105","Kirchenkonferenz"
"3106","Kirchenmusik"
"3107","Kirchensteuer"
"3108","Kirmes"
"3109","Kirsche"
"3110","Kiste"
"3111","Kittelschuerze"
"3112","Kladde"
"3113","Klaegerin"
"3114","Klaeranlage"
"3115","Klaerung"
"3116","Klage"
"3117","Klagemauer"
"3118","Klamm"
"3119","Klammer"
"3120","Klamotte"
"3121","Klangfarbe"
"3122","Klangfuelle"
"3123","Klappe"
"3124","Klapper"
"3125","Klapperschlange"
"3126","Klapsmuehle"
"3127","Klarheit"
"3128","Klasse"
"3129","Klassenarbeit"
"3130","Klassengesellschaft"
"3131","Klassenjustiz"
"3132","Klassifikation"
"3133","Klassifizierung"
"3134","Klassik"
"3135","Klaue"
"3136","Klausel"
"3137","Klavierstunde"
"3138","Klebe"
"3139","Kleiderablage"
"3140","Kleidung"
"3141","Kleinarbeit"
"3142","Kleinheit"
"3143","Kleinigkeit"
"3144","Kleinkunst"
"3145","Kleinlichkeit"
"3146","Kleinmuetigkeit"
"3147","Kleinstadt"
"3148","Kleintierzucht"
"3149","Kleinwohnung"
"3150","Klemme"
"3151","Klempnerei"
"3152","Klette"
"3153","Kletterpflanze"
"3154","Klimaanlage"
"3155","Klimax"
"3156","Klimperei"
"3157","Klinge"
"3158","Klingel"
"3159","Klinik"
"3160","Klinke"
"3161","Klippe"
"3162","Kloake"
"3163","Klosterschule"
"3164","Kluft"
"3165","Klugheit"
"3166","Knackwurst"
"3167","Knappheit"
"3168","Knarre"
"3169","Knebelung"
"3170","Knechtschaft"
"3171","Knechtung"
"3172","Kneifzange"
"3173","Kneipe"
"3174","Kniebeuge"
"3175","Kniescheibe"
"3176","Knochenmuehle"
"3177","Knolle"
"3178","Knospe"
"3179","Koagulation"
"3180","Koalition"
"3181","Koalitionsfreiheit"
"3182","Koalitionsregierung"
"3183","Kobra"
"3184","Kochkunst"
"3185","Kochplatte"
"3186","Kodex"
"3187","Koechin"
"3188","Koenigin"
"3189","Koerpergroesse"
"3190","Koerperkraft"
"3191","Koerperkultur"
"3192","Koerperlichkeit"
"3193","Koerperverletzung"
"3194","Koerperwaerme"
"3195","Koestlichkeit"
"3196","Koexistenz"
"3197","Kohaerenz"
"3198","Kohle"
"3199","Kohlensaeure"
"3200","Kohlruebe"
"3201","Koketterie"
"3202","Kokosfaser"
"3203","Kokosmatte"
"3204","Kokosnuss"
"3205","Kokospalme"
"3206","Kolchose"
"3207","Kollegialitaet"
"3208","Kollegin"
"3209","Kollektion"
"3210","Kollektivarbeit"
"3211","Kollektivwirtschaft"
"3212","Kollision"
"3213","Kolonialherrschaft"
"3214","Kolonie"
"3215","Kolonisation"
"3216","Kolportage"
"3217","Koma"
"3218","Kombination"
"3219","Kombinierung"
"3220","Komik"
"3221","Kommandantur"
"3222","Kommanditgesellschaft"
"3223","Kommandozentrale"
"3224","Kommode"
"3225","Kommunalpolitik"
"3226","Kommunalverwaltung"
"3227","Kommune"
"3228","Kommunikation"
"3229","Kommunitaet"
"3230","Kommutation"
"3231","Kompassnadel"
"3232","Kompensation"
"3233","Kompetenz"
"3234","Kompetenzfrage"
"3235","Kompilation"
"3236","Komplettierung"
"3237","Komplexitaet"
"3238","Komplikation"
"3239","Kompliziertheit"
"3240","Komponente"
"3241","Komposition"
"3242","Kompression"
"3243","Kompromissloesung"
"3244","Konditorei"
"3245","Kondolenz"
"3246","Konfektion"
"3247","Konferenz"
"3248","Konfiguration"
"3249","Konfirmation"
"3250","Konfoederation"
"3251","Konfrontation"
"3252","Konfusion"
"3253","Konjunktur"
"3254","Konjunkturschwankung"
"3255","Konklusion"
"3256","Konkretion"
"3257","Konkretisierung"
"3258","Konkurrenz"
"3259","Konsequenz"
"3260","Konserve"
"3261","Konservenbuechse"
"3262","Konservendose"
"3263","Konservierung"
"3264","Konsistenz"
"3265","Konsole"
"3266","Konsolidierung"
"3267","Konsonanz"
"3268","Konspiration"
"3269","Konstante"
"3270","Konstanz"
"3271","Konstellation"
"3272","Konstituierung"
"3273","Konstitution"
"3274","Konsultation"
"3275","Konsumgenossenschaft"
"3276","Konsumtion"
"3277","Kontamination"
"3278","Kontemplation"
"3279","Konterrevolution"
"3280","Kontinuitaet"
"3281","Kontonummer"
"3282","Kontoristin"
"3283","Kontrollampe"
"3284","Kontrolle"
"3285","Kontrollfunktion"
"3286","Kontrollierbarkeit"
"3287","Kontroverse"
"3288","Kontur"
"3289","Konvergenz"
"3290","Konversation"
"3291","Konversion"
"3292","Konvertibilitaet"
"3293","Konvertierbarkeit"
"3294","Konzentration"
"3295","Konzentrationsfaehigkeit"
"3296","Konzentrierung"
"3297","Konzeption"
"3298","Konzession"
"3299","Konzipierung"
"3300","Kooperation"
"3301","Koordinate"
"3302","Koordination"
"3303","Koordinierung"
