"","unique.ger_neut...1.."
"1278","Kindesalter"
"1279","Kinkerlitzchen"
"1280","Kinn"
"1281","Kino"
"1282","Kinoprogramm"
"1283","Kirchenjahr"
"1284","Kirchenlied"
"1285","Kirchenschiff"
"1286","Kirschwasser"
"1287","Kismet"
"1288","Kissen"
"1289","Kittchen"
"1290","Kitz"
"1291","Klagegeschrei"
"1292","Klappbett"
"1293","Klar"
"1294","Klassenbewusstsein"
"1295","Klassentreffen"
"1296","Klassenzimmer"
"1297","Klatschweib"
"1298","Klavierkonzert"
"1299","Kleeblatt"
"1300","Kleid"
"1301","Kleidchen"
"1302","Kleidungsstueck"
"1303","Klein"
"1304","Kleinasien"
"1305","Kleinbuergertum"
"1306","Kleinformat"
"1307","Kleingeld"
"1308","Kleinhirn"
"1309","Kleinkind"
"1310","Kleinod"
"1311","Kleintier"
"1312","Kleinvieh"
"1313","Kletterseil"
"1314","Klima"
"1315","Klimakterium"
"1316","Klinikum"
"1317","Klischee"
"1318","Klo"
"1319","Kloesschen"
"1320","Kloetzchen"
"1321","Klosett"
"1322","Kloster"
"1323","Klubhaus"
"1324","Klubmitglied"
"1325","Kluempchen"
"1326","Knie"
"1327","Kniegelenk"
"1328","Knochengeruest"
"1329","Knoepfchen"
"1330","Knopfloch"
"1331","Kobalt"
"1332","Kochbuch"
"1333","Kochgeschirr"
"1334","Kochsalz"
"1335","Koefferchen"
"1336","Koenigreich"
"1337","Koenigtum"
"1338","Koennen"
"1339","Koepfchen"
"1340","Koerbchen"
"1341","Koernchen"
"1342","Koerpergewicht"
"1343","Koerperteil"
"1344","Kohlehydrat"
"1345","Kohlendioxyd"
"1346","Kohlepapier"
"1347","Kokain"
"1348","Kokosfett"
"1349","Kokosoel"
"1350","Kolleg"
"1351","Kollegium"
"1352","Kollektiv"
"1353","Kollektivum"
"1354","Kolorit"
"1355","Koma"
"1356","Komma"
"1357","Kommen"
"1358","Kommissariat"
"1359","Kommunikationsmittel"
"1360","Kompositum"
"1361","Kondenswasser"
"1362","Konditionstraining"
"1363","Kondominium"
"1364","Konfekt"
"1365","Konfektionsgeschaeft"
"1366","Konkordat"
"1367","Konkubinat"
"1368","Konservatorium"
"1369","Konsulat"
"1370","Konterfei"
"1371","Kontingent"
"1372","Konto"
"1373","Kontor"
"1374","Kontra"
"1375","Kontrastmittel"
"1376","Kontrollorgan"
"1377","Kontrollsystem"
"1378","Konversationslexikon"
"1379","Konzentrat"
"1380","Konzept"
"1381","Konzert"
"1382","Konzil"
"1383","Koordinatensystem"
"1384","Kopfsteinpflaster"
"1385","Kopftuch"
"1386","Kopfweh"
"1387","Kopfzerbrechen"
"1388","Koppel"
"1389","Korallenriff"
"1390","Korn"
"1391","Korrektiv"
"1392","Korrelat"
"1393","Kostgeld"
"1394","Kostuem"
"1395","Kostuemfest"
"1396","Kraefteverhaeltnis"
"1397","Kraegelchen"
"1398","Kraehennest"
"1399","Kraenzchen"
"1400","Kraftfahrzeug"
"1401","Kraftfeld"
"1402","Kraftfutter"
"1403","Kraftwerk"
"1404","Krankenbett"
"1405","Krankengeld"
"1406","Krankenhaus"
"1407","Krankenzimmer"
"1408","Krankheitsbild"
"1409","Kraul"
"1410","Kraushaar"
"1411","Kraut"
"1412","Kredit"
"1413","Kreditinstitut"
"1414","Krematorium"
"1415","Kreppapier"
"1416","Kreuz"
"1417","Kreuzband"
"1418","Kreuzverhoer"
"1419","Kreuzwortraetsel"
"1420","Kriechtier"
"1421","Kriegerdenkmal"
"1422","Kriegsende"
"1423","Kriegsgericht"
"1424","Krippenspiel"
"1425","Kristall"
"1426","Krokodil"
"1427","Kronland"
"1428","Kruemchen"
"1429","Kruzifix"
"1430","Kuegelchen"
"1431","Kuehlhaus"
"1432","Kueken"
"1433","Kuenstlertum"
"1434","Kuesschen"
"1435","Kugelgelenk"
"1436","Kugellager"
"1437","Kugelstossen"
"1438","Kulturabkommen"
"1439","Kunstdenkmal"
"1440","Kunstgewerbe"
"1441","Kunsthandwerk"
"1442","Kunststueck"
"1443","Kunstwerk"
"1444","Kunterbunt"
"1445","Kupfer"
"1446","Kuriosum"
"1447","L"
"1448","Laboratorium"
"1449","Lachen"
"1450","Ladegeraet"
"1451","Laemmchen"
"1452","Laempchen"
"1453","Laengenmass"
"1454","Laeuten"
"1455","Lager"
"1456","Lagerbier"
"1457","Lagerfeuer"
"1458","Lagerhaus"
"1459","Laienspiel"
"1460","Laken"
"1461","Lama"
"1462","Lambda"
"1463","Lamm"
"1464","Lammfell"
"1465","Lammfleisch"
"1466","Lampenfieber"
"1467","Land"
"1468","Landesamt"
"1469","Landesprodukt"
"1470","Landgericht"
"1471","Landgut"
"1472","Landhaus"
"1473","Landvolk"
"1474","Lasso"
"1475","Lastauto"
"1476","Laster"
"1477","Laub"
"1478","Leben"
"1479","Lebensalter"
"1480","Lebenselement"
"1481","Lebensende"
"1482","Lebensgefuehl"
"1483","Lebensjahr"
"1484","Lebensmittel"
"1485","Lebenswerk"
"1486","Lebenszeichen"
"1487","Lebensziel"
"1488","Lebewesen"
"1489","Lebewohl"
"1490","Leck"
"1491","Leder"
"1492","Legat"
"1493","Lehen"
"1494","Lehnwort"
"1495","Lehramt"
"1496","Lehrbuch"
"1497","Lehrerkollegium"
"1498","Lehrjahr"
"1499","Lehrmittel"
"1500","Leichenhemd"
"1501","Leichentuch"
"1502","Leichtgewicht"
"1503","Leichtmetall"
"1504","Leid"
"1505","Leiden"
"1506","Leidwesen"
"1507","Leinen"
"1508","Leinenband"
"1509","Leinenkleid"
"1510","Leinoel"
"1511","Leintuch"
"1512","Leistungsprinzip"
"1513","Leistungsvermoegen"
"1514","Leitbild"
"1515","Leittier"
"1516","Leitungsnetz"
"1517","Lektorat"
"1518","Lenkrad"
"1519","Lernmittel"
"1520","Lesebuch"
"1521","Leuchtfeuer"
"1522","Leuchtzifferblatt"
"1523","Lexem"
"1524","Lexikon"
"1525","Licht"
"1526","Lichtbild"
"1527","Lichtchen"
"1528","Lichtermeer"
"1529","Lichtspiel"
"1530","Lichtspielhaus"
"1531","Lid"
"1532","Lieb"
"1533","Liebchen"
"1534","Liebesabenteuer"
"1535","Liebesleben"
"1536","Liebeslied"
"1537","Liebesspiel"
"1538","Liebesverhaeltnis"
"1539","Lieblingskind"
"1540","Lied"
"1541","Liedchen"
"1542","Liederbuch"
"1543","Liegende"
"1544","Likoerglas"
"1545","Lila"
"1546","Liliengewaechs"
"1547","Linnen"
"1548","Linsengericht"
"1549","Lippenbekenntnis"
"1550","Lithium"
"1551","Lob"
"1552","Loblied"
"1553","Loch"
"1554","Loeckchen"
"1555","Loeschblatt"
"1556","Loeschpapier"
"1557","Loesegeld"
"1558","Loesungsmittel"
"1559","Log"
"1560","Logbuch"
"1561","Lokal"
"1562","Lokalkolorit"
"1563","Lorbeerblatt"
"1564","Los"
"1565","Losungswort"
"1566","Lot"
"1567","Lotterielos"
"1568","Lotterleben"
"1569","Luder"
"1570","Lueftchen"
"1571","Luftloch"
"1572","Luftschloss"
"1573","Luminal"
"1574","Lustgefuehl"
"1575","Lustschloss"
"1576","Lux"
"1577","M"
"1578","Machtstreben"
"1579","Machwerk"
"1580","Madonnenbild"
"1581","Maedchen"
"1582","Maedel"
"1583","Maennchen"
"1584","Maennlein"
"1585","Maentelchen"
"1586","Maerchen"
"1587","Maerchenbuch"
"1588","Maeulchen"
"1589","Maeuschen"
"1590","Magazin"
"1591","Magengeschwuer"
"1592","Magma"
"1593","Magnesium"
"1594","Magnetfeld"
"1595","Mahagoni"
"1596","Mahl"
"1597","Mahnmal"
"1598","Maigloeckchen"
"1599","Maismehl"
"1600","Mal"
"1601","Mammut"
"1602","Mandat"
"1603","Mandatsgebiet"
"1604","Manifest"
"1605","Manko"
"1606","Mannequin"
"1607","Marderfell"
"1608","Marihuana"
"1609","Mark"
"1610","Martyrium"
"1611","Marzipan"
"1612","Maschinenoel"
"1613","Maskottchen"
"1614","Mass"
"1615","Massiv"
"1616","Mastvieh"
"1617","Material"
"1618","Matinee"
"1619","Matriarchat"
"1620","Matt"
"1621","Mauerwerk"
"1622","Maul"
"1623","Maultier"
"1624","Maulwerk"
"1625","Mauseloch"
"1626","Mausoleum"
"1627","Maximum"
"1628","Medium"
"1629","Meer"
"1630","Meerschweinchen"
"1631","Meerwasser"
"1632","Megahertz"
"1633","Megaphon"
"1634","Megawatt"
"1635","Mehl"
"1636","Mehr"
"1637","Mehrfamilienhaus"
"1638","Mehrheitswahlrecht"
"1639","Meisterwerk"
"1640","Meistgebot"
"1641","Meldeamt"
"1642","Melisma"
"1643","Melodram"
"1644","Menetekel"
"1645","Menschenalter"
"1646","Menschenfleisch"
"1647","Menschengeschlecht"
"1648","Menschenherz"
"1649","Menschenhirn"
"1650","Menschenkind"
"1651","Menschenleben"
"1652","Menschenopfer"
"1653","Menschenrecht"
"1654","Menschenskind"
"1655","Menschentum"
"1656","Menschenwerk"
"1657","Menue"
"1658","Merk"
"1659","Merkmal"
"1660","Messdatum"
"1661","Messeamt"
"1662","Messegelaende"
"1663","Messer"
"1664","Messergebnis"
"1665","Messgeraet"
"1666","Messing"
"1667","Messinstrument"
"1668","Messmittel"
"1669","Metall"
"1670","Metallgewerbe"
"1671","Methan"
"1672","Methangas"
"1673","Metronom"
"1674","Mienenspiel"
"1675","Mietauto"
"1676","Mietrecht"
"1677","Mietshaus"
"1678","Mikado"
"1679","Mikrofon"
"1680","Mikrophon"
"1681","Mikroskop"
"1682","Milchglas"
"1683","Milchpulver"
"1684","Militaer"
"1685","Militaerbuendnis"
"1686","Milliampere"
"1687","Milligramm"
"1688","Millionstel"
"1689","Minenfeld"
"1690","Mineral"
"1691","Mineralbad"
"1692","Mineraloel"
"1693","Minigolf"
"1694","Minimum"
"1695","Ministerium"
"1696","Minus"
"1697","Mischfutter"
"1698","Mischungsverhaeltnis"
"1699","Missbehagen"
"1700","Missgeschick"
"1701","Missile"
"1702","Misstrauen"
"1703","Misstrauensvotum"
"1704","Missverstaendnis"
"1705","Mitbestimmungsrecht"
"1706","Mitbringsel"
"1707","Miteigentum"
"1708","Mitempfinden"
"1709","Mitgefuehl"
"1710","Mitglied"
"1711","Mitleid"
"1712","Mitnahme"
"1713","Mitspracherecht"
"1714","Mittag"
"1715","Mittagessen"
"1716","Mittagsmahl"
"1717","Mitteilungsbeduerfnis"
"1718","Mittel"
"1719","Mittelalter"
"1720","Mittelgewicht"
"1721","Mittelmass"
"1722","Mittelmeer"
"1723","Mittelschiff"
"1724","Mittelstueck"
"1725","Mobile"
"1726","Mobiliar"
"1727","Modalverb"
"1728","Modehaus"
"1729","Modell"
"1730","Modewort"
"1731","Modul"
"1732","Moebel"
"1733","Moebelstueck"
"1734","Mol"
"1735","Moll"
"1736","Moment"
"1737","Monatseinkommen"
"1738","Monatsgehalt"
"1739","Mondlicht"
"1740","Monopol"
"1741","Monopolkapital"
"1742","Monster"
"1743","Monstrum"
"1744","Monument"
"1745","Moor"
"1746","Moorbad"
"1747","Moos"
"1748","Morgengrauen"
"1749","Morgenland"
"1750","Morgenlicht"
"1751","Morgenrot"
"1752","Morphem"
"1753","Morphium"
"1754","Mosaik"
"1755","Mosaikbild"
"1756","Moskitonetz"
"1757","Motel"
"1758","Motorboot"
"1759","Motorengeraeusch"
"1760","Motorenoel"
"1761","Motorfahrzeug"
"1762","Motorrad"
"1763","Motorschiff"
"1764","Mottenpulver"
"1765","Motto"
"1766","Muehlespiel"
"1767","Muehlrad"
"1768","Muendchen"
"1769","Muendel"
"1770","Muendelgeld"
"1771","Muendungsfeuer"
"1772","Muenster"
"1773","Muenzwesen"
"1774","Muetterchen"
"1775","Muetzchen"
"1776","Mundstueck"
"1777","Mundwasser"
"1778","Mundwerk"
"1779","Murmeltier"
"1780","Mus"
"1781","Museum"
"1782","Musikinstrument"
"1783","Musikwerk"
"1784","Muster"
"1785","Musterbeispiel"
"1786","Musterbild"
"1787","Mutterherz"
"1788","Mutterland"
"1789","Muttermal"
"1790","Mutterrecht"
"1791","Mutterschiff"
"1792","Mysterienspiel"
"1793","N"
"1794","Nachbardorf"
"1795","Nachbarland"
"1796","Nachrichtenbuero"
"1797","Nachschlagewerk"
"1798","Nachsehen"
"1799","Nachspiel"
"1800","Nachtgebet"
"1801","Nachtgewand"
"1802","Nachthemd"
"1803","Nachtleben"
"1804","Nachtlokal"
"1805","Nachtschraenkchen"
"1806","Nadelholz"
"1807","Nadelkissen"
"1808","Nadeloehr"
"1809","Naehrmittel"
"1810","Naeschen"
"1811","Nagelbett"
"1812","Nagetier"
"1813","Nahrungsmittel"
"1814","Namensschild"
"1815","Napalm"
"1816","Narkotikum"
"1817","Narrenhaus"
"1818","Naschwerk"
"1819","Nasenbein"
"1820","Nasenbluten"
"1821","Nasenloch"
"1822","Naseruempfen"
"1823","Nass"
"1824","Nationalbewusstsein"
"1825","Nationale"
"1826","Nationaleinkommen"
"1827","Nationalgefuehl"
"1828","Natron"
"1829","Naturaleinkommen"
"1830","Naturereignis"
"1831","Naturgesetz"
"1832","Naturheilverfahren"
"1833","Naturkind"
"1834","Naturprodukt"
"1835","Naturrecht"
"1836","Naturschutzgebiet"
"1837","Naturwunder"
"1838","Nebelhorn"
"1839","Nebeneinander"
"1840","Nebenerzeugnis"
"1841","Nebengeraeusch"
"1842","Nebenzimmer"
"1843","Negativ"
"1844","Neolithikum"
"1845","Nervenbuendel"
"1846","Nervenleiden"
"1847","Nervensystem"
"1848","Nest"
"1849","Nettoeinkommen"
"1850","Netz"
"1851","Netzwerk"
"1852","Neugeborene"
"1853","Neujahr"
"1854","Neujahrsfest"
"1855","Neuland"
"1856","Neutron"
"1857","Nichts"
"1858","Nichtstun"
"1859","Niedrigwasser"
"1860","Niemandsland"
"1861","Nimmerwiedersehen"
"1862","Nirwana"
"1863","Nitrid"
"1864","Nitroglyzerin"
"1865","Nomen"
"1866","Nonnenkloster"
"1867","Nordland"
"1868","Nordlicht"
"1869","Notstromaggregat"
"1870","Nudelholz"
"1871","Nutzungsrecht"
"1872","O"
"1873","Obdach"
"1874","Oberdeck"
"1875","Obergeschoss"
"1876","Oberhaupt"
"1877","Oberhaus"
"1878","Oberhemd"
"1879","Oberleder"
"1880","Oberverwaltungsgericht"
"1881","Oberwasser"
"1882","Objekt"
"1883","Objektiv"
"1884","Observatorium"
"1885","Obst"
"1886","Obstmesser"
"1887","Oedland"
"1888","Oel"
"1889","Oelbild"
"1890","Oelgemaelde"
"1891","Oertchen"
"1892","Ofenrohr"
"1893","Offizierskorps"
"1894","Ohm"
"1895","Ohr"
"1896","Ohrensausen"
"1897","Ohrfeigengesicht"
"1898","Ohrlaeppchen"
"1899","Oktoberfest"
"1900","Olivenoel"
"1901","Opernhaus"
"1902","Opfer"
"1903","Opiat"
"1904","Opium"
"1905","Optimum"
"1906","Opus"
"1907","Orakel"
"1908","Ordensband"
"1909","Organ"
"1910","Organisationsbuero"
"1911","Organisationstalent"
"1912","Original"
"1913","Ornament"
"1914","Osterei"
"1915","Osterfest"
"1916","Ostern"
"1917","Oval"
"1918","Ovarium"
"1919","P"
"1920","Paar"
"1921","Pachtgut"
"1922","Pack"
"1923","Packeis"
"1924","Packpapier"
"1925","Paddelboot"
"1926","Paeckchen"
"1927","Paerchen"
"1928","Paket"
"1929","Palaver"
"1930","Pamphlet"
"1931","Panzerglas"
"1932","Papier"
"1933","Papiergeld"
"1934","Paradebeispiel"
"1935","Paradestueck"
"1936","Paradies"
"1937","Paradoxon"
"1938","Parallelogramm"
"1939","Parfuem"
"1940","Parfum"
"1941","Parkett"
"1942","Parkverbot"
"1943","Parlament"
"1944","Parteimitglied"
"1945","Parterre"
"1946","Partizipium"
"1947","Passiv"
"1948","Passivsaldo"
"1949","Passwort"
"1950","Pastell"
"1951","Pastetchen"
"1952","Patenkind"
"1953","Patent"
"1954","Patentamt"
"1955","Patentrecht"
"1956","Patentrezept"
"1957","Pathos"
"1958","Patriarchat"
"1959","Patriziat"
"1960","Patronat"
"1961","Patrouillenboot"
"1962","Pausenzeichen"
"1963","Pech"
"1964","Pedal"
"1965","Pelzwerk"
"1966","Pendel"
"1967","Penicillin"
"1968","Pensionat"
"1969","Pensum"
"1970","Perfekt"
"1971","Pergamentpapier"
"1972","Perlon"
"1973","Persoenchen"
"1974","Personal"
"1975","Personalpronomen"
"1976","Pessar"
"1977","Pfaennchen"
"1978","Pfand"
"1979","Pfandrecht"
"1980","Pfarramt"
"1981","Pfarrhaus"
"1982","Pfefferminz"
"1983","Pfeifkonzert"
"1984","Pfeilgift"
"1985","Pferd"
"1986","Pferdefleisch"
"1987","Pferderennen"
"1988","Pfingsten"
"1989","Pfingstfest"
"1990","Pflaesterchen"
"1991","Pflanzenreich"
"1992","Pflanzenschutzmittel"
"1993","Pflaster"
"1994","Pflegeheim"
"1995","Pflegekind"
"1996","Pflichtbewusstsein"
"1997","Pflichtexemplar"
"1998","Pflichtgefuehl"
"1999","Pfuendchen"
"2000","Pfund"
"2001","Phaenomen"
"2002","Pharao"
"2003","Phlegma"
"2004","Phon"
"2005","Phonem"
"2006","Photo"
"2007","Photoelement"
"2008","Photon"
"2009","Physikum"
"2010","Piano"
"2011","Pigment"
"2012","Plagiat"
"2013","Plakat"
"2014","Planetarium"
"2015","Plasma"
"2016","Plateau"
"2017","Platin"
"2018","Platt"
"2019","Plenum"
"2020","Plexiglas"
"2021","Plus"
"2022","Pneuma"
"2023","Poekelfleisch"
"2024","Pogrom"
"2025","Pokerspiel"
"2026","Polarlicht"
"2027","Polarmeer"
"2028","Politbuero"
"2029","Polizeirevier"
"2030","Polo"
"2031","Polohemd"
"2032","Polster"
"2033","Polyamid"
"2034","Pony"
"2035","Porto"
"2036","Porzellan"
"2037","Positiv"
"2038","Possessivpronomen"
"2039","Postamt"
"2040","Postauto"
"2041","Postfach"
"2042","Postgeheimnis"
"2043","Postscheckamt"
"2044","Postulat"
"2045","Postwesen"
"2046","Potential"
"2047","Prachtstueck"
"2048","Praedikativ"
"2049","Praejudiz"
"2050","Praeparat"
"2051","Praesens"
"2052","Praesent"
"2053","Praeservativ"
"2054","Praesidium"
"2055","Praktikum"
"2056","Preisniveau"
"2057","Preisschild"
"2058","Premierenpublikum"
"2059","Presseamt"
"2060","Pressebuero"
"2061","Pressegesetz"
"2062","Presserecht"
"2063","Priesteramt"
"2064","Priesterseminar"
"2065","Prischen"
"2066","Prismenglas"
"2067","Privateigentum"
"2068","Privatflugzeug"
"2069","Privatgespraech"
"2070","Privatinteresse"
"2071","Privatleben"
"2072","Privatrecht"
"2073","Privilegium"
"2074","Probeexemplar"
"2075","Probierglas"
"2076","Produktionsmittel"
"2077","Professorenkollegium"
"2078","Profil"
"2079","Projektil"
"2080","Proletariat"
"2081","Promenadendeck"
"2082","Pronomen"
"2083","Propan"
"2084","Prosit"
"2085","Protektorat"
"2086","Protoplasma"
"2087","Provisorium"
"2088","Provitamin"
"2089","Publikum"
"2090","Publikumsinteresse"
"2091","Puelverchen"
"2092","Puenktchen"
"2093","Pult"
"2094","Pulverfass"
"2095","Pulvermagazin"
"2096","Q"
"2097","Quadrat"
"2098","Quant"
"2099","Quantum"
"2100","Quart"
"2101","Quartel"
"2102","Quartett"
"2103","Quartier"
"2104","Quecksilber"
"2105","Quellenmaterial"
"2106","Quellwasser"
"2107","Querhaus"
"2108","Querholz"
"2109","Querschiff"
"2110","Quintett"
"2111","R"
"2112","Rad"
"2113","Radargeraet"
"2114","Radikal"
"2115","Radiogeraet"
"2116","Radiometer"
"2117","Radrennen"
"2118","Raedchen"
"2119","Raederwerk"
"2120","Raenkespiel"
"2121","Raetsel"
"2122","Raetselraten"
"2123","Raffinat"
"2124","Raffinement"
"2125","Rahmengesetz"
"2126","Rampenlicht"
"2127","Randgebiet"
"2128","Rangabzeichen"
"2129","Rapsoel"
"2130","Rasiermesser"
"2131","Rasierwasser"
"2132","Rasierzeug"
"2133","Rassenmerkmal"
"2134","Rassepferd"
"2135","Rasthaus"
"2136","Raten"
"2137","Rathaus"
"2138","Rattengift"
"2139","Raubtier"
"2140","Rauchgas"
"2141","Rauchverbot"
"2142","Raumbild"
"2143","Raumfahrzeug"
"2144","Raumschiff"
"2145","Rauschgift"
"2146","Re"
"2147","Reagens"
"2148","Reagenz"
"2149","Reagenzglas"
"2150","Real"
"2151","Realeinkommen"
"2152","Realgymnasium"
"2153","Rebhuhn"
"2154","Recht"
"2155","Rechteck"
"2156","Rechtsempfinden"
"2157","Rechtsverfahren"
"2158","Reck"
"2159","Referat"
"2160","Referendum"
"2161","Reflexivpronomen"
"2162","Reformhaus"
"2163","Regal"
"2164","Regendach"
"2165","Regiment"
"2166","Regulativ"
"2167","Reh"
"2168","Reibeisen"
"2169","Reich"
"2170","Reifezeugnis"
"2171","Reimwort"
"2172","Reinemachen"
"2173","Reinigungsmittel"
"2174","Reis"
"2175","Reisebuero"
"2176","Reisegeld"
"2177","Reisegepaeck"
"2178","Reiseziel"
"2179","Reisfeld"
"2180","Reisig"
"2181","Reissbrett"
"2182","Reissen"
"2183","Reiterregiment"
"2184","Reitpferd"
"2185","Reitturnier"
"2186","Reizklima"
"2187","Reklameplakat"
"2188","Rektorat"
"2189","Relativ"
"2190","Relativpronomen"
"2191","Ren"
"2192","Rennboot"
"2193","Rennen"
"2194","Rennpferd"
"2195","Rennrad"
"2196","Rentier"
"2197","Repraesentantenhaus"
"2198","Reservat"
"2199","Residenztheater"
"2200","Restaurant"
"2201","Resultat"
"2202","Rettungsboot"
"2203","Rettungsschwimmen"
"2204","Revier"
"2205","Rezept"
"2206","Rezitativ"
"2207","Rheinland"
"2208","Rheuma"
"2209","Richteramt"
"2210","Ried"
"2211","Riemchen"
"2212","Rieselfeld"
"2213","Rind"
"2214","Rindfleisch"
"2215","Rindvieh"
"2216","Rinnsal"
"2217","Rita"
"2218","Rittergut"
"2219","Rittertum"
"2220","Rock"
"2221","Roeckchen"
"2222","Roemertum"
"2223","Roentgen"
"2224","Roentgenbild"
"2225","Roeslein"
"2226","Roessel"
"2227","Roheisen"
"2228","Rohmaterial"
"2229","Rohoel"
"2230","Rohprodukt"
"2231","Rohr"
"2232","Rohrnetz"
"2233","Rollfeld"
"2234","Rosa"
"2235","Rosenblatt"
"2236","Rosenoel"
"2237","Ross"
"2238","Rosshaar"
"2239","Rostschutzmittel"
"2240","Rot"
"2241","Rotkaeppchen"
"2242","Rotkehlchen"
"2243","Rotlicht"
"2244","Roulett"
"2245","Roulette"
"2246","Rudel"
"2247","Ruder"
"2248","Ruderboot"
"2249","Ruderhaus"
"2250","Rudiment"
"2251","Ruebchen"
"2252","Ruebenfeld"
"2253","Rueckgrat"
"2254","Ruecklicht"
"2255","Rueckporto"
"2256","Ruecktrittsgesuch"
"2257","Ruehrei"
"2258","Rufzeichen"
"2259","Ruhegeld"
"2260","Ruhrgebiet"
"2261","Rund"
"2262","Rundschreiben"
"2263","Russische"
"2264","S"
"2265","Saargebiet"
"2266","Saatgut"
"2267","Saatkorn"
"2268","Sachbuch"
"2269","Sachgebiet"
"2270","Sachregister"
"2271","Sackhuepfen"
"2272","Sackleinen"
"2273","Sacktuch"
"2274","Saeckchen"
"2275","Saegemehl"
"2276","Saegewerk"
"2277","Saelchen"
"2278","Saetzchen"
"2279","Saeugetier"
"2280","Saeuglingsheim"
"2281","Saeulchen"
"2282","Sahnekaennchen"
"2283","Saitenspiel"
"2284","Salz"
"2285","Salzwasser"
"2286","Samenkorn"
"2287","Samtkleid"
"2288","Sandpapier"
"2289","Sanitaetsauto"
"2290","Satteldach"
"2291","Sattelpferd"
"2292","Satzgefuege"
"2293","Satzglied"
"2294","Satzzeichen"
"2295","Sauer"
"2296","Sauerkraut"
"2297","Sauerstoffgeraet"
"2298","Saugrohr"
"2299","Sauwetter"
"2300","Schabefleisch"
"2301","Schach"
"2302","Schachbrett"
"2303","Schachspiel"
"2304","Schachturnier"
"2305","Schadinsekt"
"2306","Schaechtelchen"
"2307","Schaedlingsbekaempfungsmittel"
"2308","Schaefchen"
"2309","Schaeferspiel"
"2310","Schaeflein"
"2311","Schaelchen"
"2312","Schaetzchen"
"2313","Schaf"
"2314","Schaffell"
"2315","Schafleder"
"2316","Schafott"
"2317","Schalenobst"
"2318","Schalobst"
"2319","Schaltbrett"
"2320","Schaltwerk"
"2321","Schamgefuehl"
"2322","Schamhaar"
"2323","Schattenbild"
"2324","Schattendasein"
"2325","Schattenkabinett"
"2326","Schattenreich"
"2327","Schattenspiel"
"2328","Schauer"
"2329","Schaufelblatt"
"2330","Schaufelrad"
"2331","Schaufenster"
"2332","Schaukelpferd"
"2333","Schaulaufen"
"2334","Schauspiel"
"2335","Schauspielhaus"
"2336","Scheibchen"
"2337","Scheidungsurteil"
"2338","Scheingefecht"
"2339","Scheltwort"
"2340","Schema"
"2341","Scherflein"
"2342","Scherzwort"
"2343","Scheuertuch"
"2344","Scheusal"
"2345","Schicksal"
"2346","Schiebedach"
"2347","Schiebefenster"
"2348","Schiedsgericht"
"2349","Schieferdach"
"2350","Schiefergebirge"
"2351","Schienbein"
"2352","Schienenfahrzeug"
"2353","Schiessgewehr"
"2354","Schiesspulver"
"2355","Schiff"
"2356","Schiffchen"
"2357","Schild"
"2358","Schilddruesenhormon"
"2359","Schilf"
"2360","Schilfrohr"
"2361","Schimpfwort"
"2362","Schindluder"
"2363","Schlachtfeld"
"2364","Schlachthaus"
"2365","Schlachtopfer"
"2366","Schlachtschiff"
"2367","Schlachtvieh"
"2368","Schlaefchen"
"2369","Schlafmittel"
"2370","Schlafzimmer"
"2371","Schlagwerk"
"2372","Schlagwort"
"2373","Schlagzeug"
"2374","Schlangengift"
"2375","Schlappohr"
"2376","Schlaraffenland"
"2377","Schlauchboot"
"2378","Schleppschiff"
"2379","Schlepptau"
"2380","Schleusentor"
"2381","Schliessfach"
"2382","Schlittschuhlaufen"
"2383","Schlitzauge"
"2384","Schloesschen"
"2385","Schloss"
"2386","Schlueckchen"
"2387","Schluesselbein"
"2388","Schluesselchen"
"2389","Schluesselloch"
"2390","Schluesselwort"
"2391","Schlummerlied"
"2392","Schlupfloch"
"2393","Schlusskapitel"
"2394","Schlusswort"
"2395","Schmalz"
"2396","Schmelzwasser"
"2397","Schmerzensgeld"
"2398","Schmerzenskind"
"2399","Schmiedeeisen"
"2400","Schmiedefeuer"
"2401","Schmierfett"
"2402","Schmiergeld"
"2403","Schmiermittel"
"2404","Schmieroel"
"2405","Schmorfleisch"
"2406","Schmuckstueck"
"2407","Schnaepschen"
"2408","Schnapsglas"
"2409","Schneegloeckchen"
"2410","Schneiderkostuem"
"2411","Schnellboot"
"2412","Schnellgericht"
"2413","Schnellverfahren"
"2414","Schnittmuster"
"2415","Schnitzel"
"2416","Schnuerchen"
"2417","Schnupftuch"
"2418","Schock"
"2419","Schoenheitsideal"
"2420","Schraeubchen"
"2421","Schreckbild"
"2422","Schreibpapier"
"2423","Schriftbild"
"2424","Schriftdeutsch"
"2425","Schriftstueck"
"2426","Schubfach"
"2427","Schuereisen"
"2428","Schuetz"
"2429","Schuhgeschaeft"
"2430","Schulamt"
"2431","Schuldbewusstsein"
"2432","Schuldgefuehl"
"2433","Schulgeld"
"2434","Schuljahr"
"2435","Schulkind"
"2436","Schulmaedchen"
"2437","Schulschiff"
"2438","Schulsystem"
"2439","Schulterblatt"
"2440","Schultergelenk"
"2441","Schulwesen"
"2442","Schulzeugnis"
"2443","Schutzdach"
"2444","Schutzgebiet"
"2445","Schutzgitter"
"2446","Schutzglas"
"2447","Schutzmittel"
"2448","Schwaenzchen"
"2449","Schwaetzchen"
"2450","Schwalbennest"
"2451","Schwarz"
"2452","Schwarzbrot"
"2453","Schwarzwild"
"2454","Schwein"
"2455","Schweinefleisch"
