"","unique.ger_masc...1.."
"303","Apfelmost"
"304","Apfelwein"
"305","Aphorismus"
"306","Apotheker"
"307","Apparat"
"308","Appell"
"309","Applaus"
"310","April"
"311","Aprilscherz"
"312","Apriltag"
"313","Aquarianer"
"314","Ara"
"315","Araber"
"316","Arbeiter"
"317","Arbeiterpriester"
"318","Arbeitgeber"
"319","Arbeitnehmer"
"320","Arbeitsablauf"
"321","Arbeitsbesuch"
"322","Arbeitsdirektor"
"323","Arbeitsgang"
"324","Arbeitskreis"
"325","Arbeitslohn"
"326","Arbeitsmarkt"
"327","Arbeitsplatz"
"328","Arbeitsstil"
"329","Arbeitstag"
"330","Arbeitsvorgang"
"331","Arbeitszimmer"
"332","Archaeologe"
"333","Archivar"
"334","Arge"
"335","Argentinier"
"336","Argwohn"
"337","Arianer"
"338","Arianismus"
"339","Arier"
"340","Arm"
"341","arme"
"342","Armenier"
"343","Armenpfleger"
"344","Armreif"
"345","Arrivierte"
"346","Arsch"
"347","Artgenosse"
"348","Artikel"
"349","Artillerist"
"350","Artist"
"351","Arzt"
"352","Asch"
"353","Aschbecher"
"354","Ascher"
"355","Aschermittwoch"
"356","Asket"
"357","Aspik"
"358","Aspirant"
"359","Assistent"
"360","Assistenzarzt"
"361","Ast"
"362","Asthmatiker"
"363","Astrologe"
"364","Astronom"
"365","Aszendent"
"366","Atavismus"
"367","Atem"
"368","Atemzug"
"369","Atheismus"
"370","Atheist"
"371","Atlantikwall"
"372","Atlas"
"373","Atomist"
"374","Atomkern"
"375","Atomkrieg"
"376","Atommeiler"
"377","Atomreaktor"
"378","Attentaeter"
"379","Attributsatz"
"380","Auerochse"
"381","Aufbau"
"382","Aufbauwille"
"383","Aufbewahrungsort"
"384","Aufbruch"
"385","Aufdruck"
"386","Aufenthalt"
"387","Aufenthaltsort"
"388","Aufenthaltsraum"
"389","Aufgabenbereich"
"390","Aufgang"
"391","Aufguss"
"392","Aufhaenger"
"393","Aufkaeufer"
"394","Aufkauf"
"395","Aufklaerer"
"396","Auflauf"
"397","Aufmarsch"
"398","Aufnahmeleiter"
"399","Aufnehmer"
"400","Aufpasser"
"401","Aufprall"
"402","Aufpreis"
"403","Aufruehrer"
"404","Aufruf"
"405","Aufruhr"
"406","Aufsatz"
"407","Aufschlag"
"408","Aufschlagzuender"
"409","Aufschluss"
"410","Aufschrei"
"411","Aufschub"
"412","Aufschwung"
"413","Aufseher"
"414","Aufsetzer"
"415","Aufsichtsbeamte"
"416","Aufsichtsrat"
"417","Aufsprung"
"418","Aufstand"
"419","Aufstieg"
"420","Aufstrom"
"421","Auftakt"
"422","Auftrag"
"423","Auftraggeber"
"424","Auftragsrueckgang"
"425","Auftrieb"
"426","Auftritt"
"427","Aufwand"
"428","Aufwind"
"429","Aufzug"
"430","Augapfel"
"431","Augenarzt"
"432","Augenaufschlag"
"433","Augenblick"
"434","Augenoptiker"
"435","Augenschein"
