"","unique.ger_masc...1.."
"1306","Flamingo"
"1307","Flaschenhals"
"1308","Flechter"
"1309","Fleck"
"1310","Flegel"
"1311","Fleischer"
"1312","Fleiss"
"1313","Flieder"
"1314","Fliegenfaenger"
"1315","Fliegenpilz"
"1316","Flieger"
"1317","Fliegerangriff"
"1318","Fliesenleger"
"1319","Flimmer"
"1320","Flint"
"1321","Flitter"
"1322","Floetenblaeser"
"1323","Floetenton"
"1324","Floetist"
"1325","Flor"
"1326","Fluch"
"1327","Fluchtversuch"
"1328","Fluchtweg"
"1329","Fluechtigkeitsfehler"
"1330","Fluechtling"
"1331","Fluegel"
"1332","Fluegelschlag"
"1333","Fluesterer"
"1334","Fluesterton"
"1335","Flug"
"1336","Fluggast"
"1337","Flughafen"
"1338","Flugplan"
"1339","Flugplatz"
"1340","Flugsand"
"1341","Flugverkehr"
"1342","Flugzeugfuehrer"
"1343","Flugzeugtraeger"
"1344","Fluor"
"1345","Flur"
"1346","Fluss"
"1347","Flusslauf"
"1348","Fockmast"
"1349","Foederalismus"
"1350","Foerderer"
"1351","Foerderunterricht"
"1352","Foerster"
"1353","Foliant"
"1354","Forint"
"1355","Formalismus"
"1356","Former"
"1357","Formfehler"
"1358","Forscher"
"1359","Forschungsauftrag"
"1360","Forschungsbereich"
"1361","Forschungsbericht"
"1362","Forst"
"1363","Forstmeister"
"1364","Forstwirt"
"1365","Fortbestand"
"1366","Fortfall"
"1367","Fortgang"
"1368","Fortschritt"
"1369","Fotograf"
"1370","Frachtbrief"
"1371","Frachter"
"1372","Fraeser"
"1373","Fragebogen"
"1374","Frager"
"1375","Fragesatz"
"1376","Fragesteller"
"1377","Frass"
"1378","Frauenarzt"
"1379","Freidenker"
"1380","Freier"
"1381","Freihandel"
"1382","Freimaurer"
"1383","Freispruch"
"1384","Freitag"
"1385","Freitod"
"1386","Fremdkoerper"
"1387","Fresser"
"1388","Freudenruf"
"1389","Freund"
"1390","Frevel"
"1391","Friede"
"1392","Frieden"
"1393","Friedensbruch"
"1394","Friedhof"
"1395","Friese"
"1396","Frisoer"
"1397","Frohsinn"
"1398","Fromme"
"1399","Fronleichnam"
"1400","Frontalangriff"
"1401","Frontantrieb"
"1402","Frontkaempfer"
"1403","Frosch"
"1404","Froschmann"
"1405","Frost"
"1406","Frostschaden"
"1407","Frostschutz"
"1408","Fruehaufsteher"
"1409","Fruehling"
"1410","Fuchs"
"1411","Fuchsschwanz"
"1412","Fuehler"
"1413","Fuehrer"
"1414","Fuehrerschein"
"1415","Fuenfer"
"1416","Fuenfkampf"
"1417","Fuersprecher"
"1418","Fuerst"
"1419","Fuerstbischof"
"1420","Fund"
"1421","Fundort"
"1422","Funk"
"1423","Funke"
"1424","Funken"
"1425","Funker"
"1426","Funktionaer"
"1427","Funktionsbereich"
"1428","Funkturm"
"1429","Fuss"
"1430","Fussball"
"1431","Fussballer"
"1432","Fussballspieler"
"1433","Fussboden"
"1434","Fussgaenger"
"1435","Fussmarsch"
"1436","Fusstritt"
"1437","Futtertrog"
"1438","Gabentisch"
"1439","Gaensemarsch"
"1440","Gaenserich"
"1441","Gaertner"
"1442","Gag"
"1443","Galaabend"
"1444","Galan"
"1445","Galgen"
"1446","Galopp"
"1447","Galvaniseur"
"1448","Gammler"
"1449","Gang"
"1450","Ganove"
"1451","Ganter"
"1452","Garant"
"1453","Garantieschein"
"1454","Garaus"
"1455","Gardeoffizier"
"1456","Garderobenstaender"
"1457","Gardist"
"1458","Garten"
"1459","Gartenweg"
"1460","Gartenzaun"
"1461","Gasherd"
"1462","Gast"
"1463","Gastarbeiter"
"1464","Gastgeber"
"1465","Gasthof"
"1466","Gastronom"
"1467","Gatte"
"1468","Gau"
"1469","Gaul"
"1470","Gaumen"
"1471","Gauner"
"1472","Geaechtete"
"1473","Geber"
"1474","Gebieter"
"1475","Gebrauch"
"1476","Geburtsort"
"1477","Geburtstag"
"1478","Geck"
"1479","Gedanke"
"1480","Gedankengang"
"1481","Gedeih"
"1482","Gefaehrte"
"1483","Gefallen"
"1484","Gefolgsmann"
"1485","Gefreite"
"1486","Gegenangriff"
"1487","Gegenkandidat"
"1488","Gegenpart"
"1489","Gegenpol"
"1490","Gegensatz"
"1491","Gegenschlag"
"1492","Gegenspieler"
"1493","Gegenstand"
"1494","Gegenstoss"
"1495","Gegenvorschlag"
"1496","Gegner"
"1497","Gehalt"
"1498","Geheimdienst"
"1499","Geheimrat"
"1500","Geher"
"1501","Gehilfe"
"1502","Gehirnschlag"
"1503","Gehsteig"
"1504","Geier"
"1505","Geiger"
"1506","Geist"
"1507","Geisteszustand"
"1508","Geistliche"
"1509","Geiz"
"1510","Geizhals"
"1511","Gekreuzigte"
"1512","Gelaendelauf"
"1513","Geldbrieftraeger"
"1514","Geldschrank"
"1515","Geltungsbereich"
"1516","Gemahl"
"1517","Gemeindebeamte"
"1518","Gemeinderat"
"1519","Gemeinsinn"
"1520","Gendarm"
"1521","Generaldirektor"
"1522","Generalintendant"
"1523","Generalleutnant"
"1524","Generalstab"
"1525","Generalstreik"
"1526","Generator"
"1527","Genickschuss"
"1528","Geniesser"
"1529","Genosse"
"1530","Genossenschaftler"
"1531","Gent"
"1532","Genuss"
"1533","Geograph"
"1534","Gepaecktraeger"
"1535","Gepard"
"1536","Gerber"
"1537","Gerichtshof"
"1538","Gerichtsstand"
"1539","Geruch"
"1540","Gesamteindruck"
"1541","Gesang"
"1542","Gesangverein"
"1543","Geschichtsschreiber"
"1544","Geschmack"
"1545","Geschwister"
"1546","Gesell"
"1547","Geselle"
"1548","Gesellenbrief"
"1549","Gesetzentwurf"
"1550","Gesichtsausdruck"
"1551","Gesichtskreis"
"1552","Gesichtspunkt"
"1553","Gesinnungsgenosse"
"1554","Gespraechspartner"
"1555","Gespraechsstoff"
"1556","Gestalter"
"1557","Gestank"
"1558","Gewahrsam"
"1559","Gewerbebetrieb"
"1560","Gewerke"
"1561","Gewerkschaftler"
"1562","Gewerkschaftsbund"
"1563","Gewichtheber"
"1564","Gewinn"
"1565","Gewinnanteil"
"1566","Gewinner"
"1567","Gewissenskonflikt"
"1568","Gewohnheitsverbrecher"
"1569","Geysir"
"1570","Giebel"
"1571","Giesser"
"1572","Gift"
"1573","Gigant"
"1574","Gin"
"1575","Gipfel"
"1576","Gips"
"1577","Gipsabdruck"
"1578","Gitarrist"
"1579","Glaeubiger"
"1580","Glanz"
"1581","Glasblaeser"
"1582","Glassplitter"
"1583","Glaube"
"1584","Glauben"
"1585","Gleitflug"
"1586","Gletscher"
"1587","Globetrotter"
"1588","Gloeckner"
"1589","Glorienschein"
"1590","Gluecksfall"
"1591","Glueckwunsch"
"1592","Gneis"
"1593","Gnom"
"1594","Gnostiker"
"1595","Goenner"
"1596","Goetze"
"1597","Goetzendienst"
"1598","Goldfisch"
"1599","Goldgraeber"
"1600","Goldschmied"
"1601","Goldstern"
"1602","Goldwert"
"1603","Golf"
"1604","Golfer"
"1605","Golfplatz"
"1606","Gorilla"
"1607","Gote"
"1608","Gott"
"1609","Gottesdienst"
"1610","Gouverneur"
"1611","Graben"
"1612","Grabstein"
"1613","Grad"
"1614","Graeber"
"1615","Graf"
"1616","Gralsritter"
"1617","Gram"
"1618","Grammatiker"
"1619","Granat"
"1620","Granatsplitter"
"1621","Granatwerfer"
"1622","Granit"
"1623","Graphiker"
"1624","Graphit"
"1625","Grat"
"1626","Gratulant"
"1627","Graukopf"
"1628","Graus"
"1629","Graveur"
"1630","Greif"
"1631","Greifer"
"1632","Greifvogel"
"1633","Greis"
"1634","Grenzbahnhof"
"1635","Grenzbereich"
"1636","Grenzfall"
"1637","Grenzfluss"
"1638","Grenzgaenger"
"1639","Grenzposten"
"1640","Grenzuebergang"
"1641","Grenzuebertritt"
"1642","Grenzverkehr"
"1643","Grenzwert"
"1644","Grenzzwischenfall"
"1645","Greuel"
"1646","Griesgram"
"1647","Griess"
"1648","Griessbrei"
"1649","Griff"
"1650","Griffel"
"1651","Grobian"
"1652","Groessenwahn"
"1653","Groll"
"1654","Groschen"
"1655","Grossbetrieb"
"1656","Grosseinkauf"
"1657","Grossenkel"
"1658","Grossfuerst"
"1659","Grossgrundbesitz"
"1660","Grossgrundbesitzer"
"1661","Grossherzog"
"1662","Grossist"
"1663","Grosskaufmann"
"1664","Grossmeister"
"1665","Grossteil"
"1666","Grossvater"
"1667","Grubenarbeiter"
"1668","Grubenbau"
"1669","Gruebler"
"1670","Gruender"
"1671","Gruenguertel"
"1672","Gruenschnabel"
"1673","Grund"
"1674","Grundbegriff"
"1675","Grundbesitz"
"1676","Grundeigentuemer"
"1677","Grunderwerb"
"1678","Grundfehler"
"1679","Grundriss"
"1680","Grundsatz"
"1681","Grundstein"
"1682","Grundstock"
"1683","Grundstoff"
"1684","Grundton"
"1685","Grundwasserspiegel"
"1686","Grundwert"
"1687","Gruppenfuehrer"
"1688","Gruss"
"1689","Guano"
"1690","Guertel"
"1691","Gueterbahnhof"
"1692","Gueterwagen"
"1693","Gueterzug"
"1694","Gulden"
"1695","Gummiball"
"1696","Gummibaum"
"1697","Gummireifen"
"1698","Gummistiefel"
"1699","Gurt"
"1700","Guss"
"1701","Gusto"
"1702","Gutachter"
"1703","Gutsherr"
"1704","Gutshof"
"1705","Gymnasiast"
"1706","Haarausfall"
"1707","Haarschnitt"
"1708","Habicht"
"1709","Habit"
"1710","Hackbraten"
"1711","Hader"
"1712","Haeftling"
"1713","Haeher"
"1714","Haendedruck"
"1715","Haendler"
"1716","Haenger"
"1717","Haeretiker"
"1718","Haeuptling"
"1719","Haeuserblock"
"1720","Hafen"
"1721","Hafenarbeiter"
"1722","Hafer"
"1723","Haferbrei"
"1724","Haft"
"1725","Haftbefehl"
"1726","Hag"
"1727","Hagel"
"1728","Hagelschlag"
"1729","Hagen"
"1730","Hahn"
"1731","Hahnenkamm"
"1732","Hai"
"1733","Haifisch"
"1734","Hain"
"1735","Haken"
"1736","Halbbruder"
"1737","Halbmond"
"1738","Halbschatten"
"1739","Halbschlaf"
"1740","Halbschuh"
"1741","Halfter"
"1742","Hall"
"1743","Halm"
"1744","Hals"
"1745","Halsabschneider"
"1746","Halt"
"1747","Halteplatz"
"1748","Haltepunkt"
"1749","Halter"
"1750","Halunke"
"1751","Hammel"
"1752","Hammer"
"1753","Hampelmann"
"1754","Hamster"
"1755","Handball"
"1756","Handballer"
"1757","Handel"
"1758","Handelsvertrag"
"1759","Handgriff"
"1760","Handkoffer"
"1761","Handkuss"
"1762","Handlanger"
"1763","Handschuh"
"1764","Handwerker"
"1765","Handwerkerstand"
"1766","Handwerksbetrieb"
"1767","Hanf"
"1768","Hang"
"1769","Hans"
"1770","Hanse"
"1771","Happen"
"1772","Harem"
"1773","Harlekin"
"1774","Harm"
"1775","Harn"
"1776","Harnisch"
"1777","Harnleiter"
"1778","Harpunier"
"1779","Harsch"
"1780","Hase"
"1781","Haselbusch"
"1782","Hass"
"1783","Hau"
"1784","Hauch"
"1785","Haufen"
"1786","Hauptbahnhof"
"1787","Hauptberuf"
"1788","Hauptdarsteller"
"1789","Hauptgewinn"
"1790","Hauptmann"
"1791","Hauptsatz"
"1792","Hauptteil"
"1793","Hausarzt"
"1794","Hausbau"
"1795","Hausbesitzer"
"1796","Hausflur"
"1797","Hausfreund"
"1798","Hausfriedensbruch"
"1799","Haushalt"
"1800","Haushaltsplan"
"1801","Hausherr"
"1802","Hausmann"
"1803","Hausmeier"
"1804","Hausmeister"
"1805","Hausputz"
"1806","Hausrat"
"1807","Hausverwalter"
"1808","Hauswart"
"1809","Hauswirt"
"1810","Havarist"
"1811","Hebel"
"1812","Hebelarm"
"1813","Heber"
"1814","Hecht"
"1815","Heckmotor"
"1816","Heereszug"
"1817","Heerfuehrer"
"1818","Hefekuchen"
"1819","Hefter"
"1820","Hehler"
"1821","Heide"
"1822","Heiland"
"1823","Heiligenschein"
"1824","Heilpraktiker"
"1825","Heilungsprozess"
"1826","Heimatstaat"
"1827","Heimgang"
"1828","Heimkehrer"
"1829","Heimleiter"
"1830","Heimweg"
"1831","Heiratsantrag"
"1832","Heiratsmarkt"
"1833","Heiratsschwindler"
"1834","Heisshunger"
"1835","Heizer"
"1836","Heizkoerper"
"1837","Heizungsmonteur"
"1838","Held"
"1839","Heldenmut"
"1840","Heldentod"
"1841","Helfer"
"1842","Helfershelfer"
"1843","Heller"
"1844","Hellseher"
"1845","Helm"
"1846","Hemdsaermel"
"1847","Hemmschuh"
"1848","Hengst"
"1849","Henkel"
"1850","Henker"
"1851","Henkersknecht"
"1852","Herausforderer"
"1853","Herausgeber"
"1854","Herbst"
"1855","Herbststurm"
"1856","Herd"
"1857","Hergang"
"1858","Hering"
"1859","Herkunftsort"
"1860","Heroismus"
"1861","Herold"
"1862","Herr"
"1863","Herrenabend"
"1864","Herrgott"
"1865","Herrschaftsbereich"
"1866","Herrscher"
"1867","Hersteller"
"1868","Herumtreiber"
"1869","Herweg"
"1870","Herzanfall"
"1871","Herzensbrecher"
"1872","Herzinfarkt"
"1873","Herzmuskel"
"1874","Herzog"
"1875","Herzschlag"
"1876","Hetzer"
"1877","Heuboden"
"1878","Heuchler"
"1879","Heuer"
"1880","Heulkrampf"
"1881","Hexameter"
"1882","Hexenmeister"
"1883","Hibiskus"
"1884","Hieb"
"1885","Hilferuf"
"1886","Hilfsarbeiter"
"1887","Himmel"
"1888","Himmelskoerper"
"1889","Hinblick"
"1890","Hindernislauf"
"1891","Hinterausgang"
"1892","Hintereingang"
"1893","Hintergedanke"
"1894","Hintergrund"
"1895","Hinterhalt"
"1896","Hinterhof"
"1897","Hinterkopf"
"1898","Hintermann"
"1899","Hintern"
"1900","Hinweg"
"1901","Hinweis"
"1902","Hirsch"
"1903","Hirschfaenger"
"1904","Hirsebrei"
"1905","Hirt"
"1906","Hirte"
"1907","Hirtenbrief"
"1908","Hirtenstab"
"1909","Historiker"
"1910","Historismus"
"1911","Hitzkopf"
"1912","Hitzschlag"
"1913","Hobel"
"1914","Hochadel"
"1915","Hochaltar"
"1916","Hochbetrieb"
"1917","Hochdruck"
"1918","Hochgenuss"
"1919","Hochglanz"
"1920","Hochmeister"
"1921","Hochmut"
"1922","Hochofen"
"1923","Hochruf"
"1924","Hochschueler"
"1925","Hochsitz"
"1926","Hochsommer"
"1927","Hochsprung"
"1928","Hochstapler"
"1929","Hochton"
"1930","Hochverrat"
"1931","Hochwald"
"1932","Hochwuerden"
"1933","Hoechstfall"
"1934","Hoechstpreis"
"1935","Hoechstwert"
"1936","Hoeflichkeitsbesuch"
"1937","Hoefling"
"1938","Hoehepunkt"
"1939","Hoellenhund"
"1940","Hoellenlaerm"
"1941","Hoerapparat"
"1942","Hoerbereich"
"1943","Hoerer"
"1944","Hoererkreis"
"1945","Hoerfehler"
"1946","Hoerfunk"
"1947","Hoersaal"
"1948","Hof"
"1949","Hoffnungsschimmer"
"1950","Hofhalt"
"1951","Hofmeister"
"1952","Hofnarr"
"1953","Hofrat"
"1954","Hohepriester"
"1955","Hohlraum"
"1956","Hohlspiegel"
"1957","Hohlweg"
"1958","Hohn"
"1959","Holzklotz"
"1960","Holzschneider"
"1961","Holzschnitt"
"1962","Holzschnitzer"
"1963","Holzstapel"
"1964","Holzweg"
"1965","Holzwurm"
"1966","Homo"
"1967","Homoeopath"
"1968","Honig"
"1969","Honorarprofessor"
"1970","Hopfen"
"1971","Hopp"
"1972","Horizont"
"1973","Hornist"
"1974","Horror"
"1975","Horst"
"1976","Hort"
"1977","Hosenbund"
"1978","Hosentraeger"
"1979","Hospitant"
"1980","Hotelbesitzer"
"1981","Hotelier"
"1982","Hotelzimmer"
"1983","Hubschrauber"
"1984","Hueftknochen"
"1985","Huegel"
"1986","Huene"
"1987","Huetejunge"
"1988","Hueter"
"1989","Huf"
"1990","Hufschlag"
"1991","Hufschmied"
"1992","Humanismus"
"1993","Humanist"
"1994","Humbug"
"1995","Hummer"
"1996","Humor"
"1997","Humorist"
"1998","Humpen"
"1999","Humus"
"2000","Hund"
"2001","Hunderter"
"2002","Hundertste"
"2003","Hunger"
"2004","Hungerleider"
"2005","Hungerlohn"
"2006","Hungerstreik"
"2007","Hurenbock"
"2008","Husar"
"2009","Husarenritt"
"2010","Husten"
"2011","Hustenanfall"
"2012","Hut"
"2013","Hyazinth"
"2014","Hydrant"
"2015","Hymen"
"2016","Hypnotiseur"
"2017","Idealfall"
"2018","Idealismus"
"2019","Idealist"
"2020","Ideenreichtum"
"2021","Idiot"
"2022","Igel"
"2023","Ignorant"
"2024","Illustrator"
"2025","Imbiss"
"2026","Imitator"
"2027","Imker"
"2028","Immobilienhaendler"
"2029","Imperativsatz"
"2030","Imperialismus"
"2031","Imperialist"
"2032","Impfstoff"
"2033","Importeur"
"2034","Impressionismus"
"2035","Impressionist"
"2036","Impuls"
"2037","Inbegriff"
"2038","Index"
"2039","Indikator"
"2040","Individualismus"
"2041","Individualist"
"2042","Indizienbeweis"
"2043","Indologe"
"2044","Industrialismus"
"2045","Industriearbeiter"
"2046","Industriebetrieb"
"2047","Industriekaufmann"
"2048","Industriezweig"
"2049","Infant"
"2050","Infanterist"
"2051","Infarkt"
"2052","Infekt"
"2053","Infinitivsatz"
"2054","Informant"
"2055","Informationsaustausch"
"2056","Informator"
"2057","Ingenieur"
"2058","Ingrimm"
"2059","Ingwer"
"2060","Inhaber"
"2061","Inhalt"
"2062","Initiator"
"2063","Inlaender"
"2064","Inlandsmarkt"
"2065","Innenarchitekt"
"2066","Innendienst"
"2067","Innenhof"
"2068","Innenminister"
"2069","Innenraum"
"2070","Insasse"
"2071","Inselberg"
"2072","Inselbewohner"
"2073","Inserent"
"2074","Inspekteur"
"2075","Inspektor"
"2076","Inspirator"
"2077","Inspizient"
"2078","Installateur"
"2079","Instinkt"
"2080","Instrukteur"
"2081","Instrumentalist"
"2082","Insulaner"
"2083","Intellektualismus"
"2084","Intendant"
"2085","Interessent"
"2086","Internationalismus"
"2087","Internist"
"2088","Interpellant"
"2089","Interpret"
"2090","Intervent"
"2091","Interviewer"
"2092","Interzonenhandel"
"2093","Intrigant"
"2094","Invalide"
"2095","Inzest"
"2096","Ironiker"
"2097","Irrationalismus"
"2098","Irrgarten"
"2099","Irrglauben"
"2100","Irrlaeufer"
"2101","Irrsinn"
"2102","Irrtum"
"2103","Irrweg"
"2104","Irrwisch"
"2105","Isolationismus"
"2106","Isolator"
"2107","Jaeger"
"2108","Jaegermeister"
"2109","Jaehzorn"
"2110","Jagdaufseher"
"2111","Jagdbomber"
"2112","Jagdflieger"
"2113","Jagdhund"
"2114","Jaguar"
"2115","Jahresbeginn"
"2116","Jahresbeitrag"
"2117","Jahrestag"
"2118","Jahrgang"
"2119","Jahrmarkt"
"2120","Jammer"
"2121","Jargon"
"2122","Jasager"
"2123","Jauchzer"
"2124","Jazz"
"2125","Jeep"
"2126","Jemand"
"2127","Jet"
"2128","Job"
"2129","Jodler"
"2130","Joker"
"2131","Journalismus"
"2132","Journalist"
"2133","Jubel"
"2134","Jubilar"
"2135","Juckreiz"
"2136","Jude"
"2137","Juenger"
"2138","Juengling"
"2139","Jugendfreund"
"2140","Junge"
"2141","Junggeselle"
"2142","Junior"
"2143","Juniorchef"
"2144","Junker"
"2145","Jurist"
"2146","Juror"
"2147","Justizirrtum"
"2148","Justizminister"
"2149","Justizmord"
"2150","Justizpalast"
"2151","Juwelier"
"2152","Jux"
"2153","Kabarettist"
"2154","Kabeljau"
"2155","Kachelofen"
"2156","Kadaver"
"2157","Kader"
"2158","Kadett"
"2159","Kaefer"
"2160","Kaefig"
"2161","Kaelteeinbruch"
"2162","Kaeltegrad"
"2163","Kaemmerer"
"2164","Kaempfer"
"2165","Kaese"
"2166","Kaesekuchen"
"2167","Kaestner"
"2168","Kaeufer"
"2169","Kaffee"
"2170","Kahlkopf"
"2171","Kahlschlag"
"2172","Kahn"
"2173","Kaiser"
"2174","Kakao"
"2175","Kaktus"
"2176","Kalbsbraten"
"2177","Kalender"
"2178","Kalif"
"2179","Kalk"
"2180","Kalkofen"
"2181","Kalkstein"
"2182","Kalkuel"
"2183","Kalkulator"
"2184","Kalligraph"
"2185","Kaloriengehalt"
"2186","Kamerad"
"2187","Kameramann"
"2188","Kamin"
"2189","Kamm"
"2190","Kammerherr"
"2191","Kammerorchester"
"2192","Kammersaenger"
"2193","Kampf"
"2194","Kampfflieger"
"2195","Kampfgeist"
"2196","Kampfhahn"
"2197","Kampfplatz"
"2198","Kanal"
"2199","Kanarienvogel"
"2200","Kandidat"
"2201","Kandis"
"2202","Kanister"
"2203","Kannibale"
"2204","Kannibalismus"
"2205","Kanon"
"2206","Kanonenschuss"
"2207","Kanonier"
"2208","Kanton"
"2209","Kanzler"
"2210","Kapellmeister"
"2211","Kaper"
"2212","Kapitaen"
"2213","Kapitaenleutnant"
"2214","Kapitalfehler"
"2215","Kapitalismus"
"2216","Kapitalist"
"2217","Kapitalmarkt"
"2218","Kapitalzins"
"2219","Kaplan"
"2220","Kappenabend"
"2221","Kardinal"
"2222","Karfreitag"
"2223","Karfunkel"
"2224","Karikaturist"
"2225","Karneval"
"2226","Karnevalist"
"2227","Karpfen"
"2228","Karpfenteich"
"2229","Karren"
"2230","Karrierist"
"2231","Karsamstag"
"2232","Karst"
"2233","Kartenverkauf"
"2234","Kartoffelsalat"
"2235","Karton"
"2236","Kaschmir"
"2237","Kasernenhof"
"2238","Kassenarzt"
"2239","Kassenzettel"
"2240","Kassier"
"2241","Kassierer"
"2242","Kastanienbaum"
"2243","Kasten"
"2244","Kastenwagen"
"2245","Kastrat"
"2246","Kasus"
"2247","Katafalk"
"2248","Katalog"
"2249","Katalysator"
"2250","Katarrh"
"2251","Katechet"
"2252","Katechismus"
"2253","Kater"
"2254","Katholik"
"2255","Katholizismus"
"2256","Katzenjammer"
"2257","Katzensprung"
"2258","Kauf"
"2259","Kaufmann"
"2260","Kaufpreis"
"2261","Kaufvertrag"
"2262","Kaugummi"
"2263","Kautabak"
"2264","Kautschuk"
"2265","Kauz"
"2266","Kavalier"
"2267","Kavallerist"
"2268","Kaviar"
"2269","Kefir"
"2270","Kegel"
"2271","Kegelklub"
"2272","Kegler"
"2273","Kehlkopf"
"2274","Kehllaut"
"2275","Kehricht"
"2276","Keil"
"2277","Keiler"
"2278","Keilriemen"
"2279","Keim"
"2280","Keks"
"2281","Kelch"
"2282","Keller"
"2283","Kellner"
"2284","Kenner"
"2285","Keramiker"
"2286","Kerbschnitt"
"2287","Kerker"
"2288","Kerkermeister"
"2289","Kerl"
"2290","Kern"
"2291","Kernreaktor"
"2292","Kessel"
"2293","Kesselschmied"
"2294","Ketzer"
"2295","Keuchhusten"
"2296","Keulenschlag"
"2297","Keuschheitsguertel"
"2298","Khan"
"2299","Kibbuz"
"2300","Kiebitz"
"2301","Kiefer"
"2302","Kiel"
"2303","Kielraum"
"2304","Kies"
"2305","Kiesel"
"2306","Kieselstein"
"2307","Kiesweg"
"2308","Kilometer"
"2309","Kinderarzt"
"2310","Kindergarten"
"2311","Kinderschreck"
"2312","Kinderwagen"
"2313","Kindskopf"
"2314","Kinobesucher"
"2315","Kiosk"
"2316","Kipper"
"2317","Kirchenaelteste"
"2318","Kirchenbann"
"2319","Kirchenbau"
"2320","Kirchenchor"
"2321","Kirchenrat"
"2322","Kirchgaenger"
"2323","Kirchhof"
"2324","Kirchturm"
"2325","Kirsch"
"2326","Kirschbaum"
"2327","Kirschkern"
"2328","Kissenbezug"
"2329","Kitsch"
"2330","Kitt"
"2331","Kittel"
"2332","Kitzel"
"2333","Klaeger"
"2334","Klan"
"2335","Klang"
"2336","Klapperstorch"
"2337","Klappstuhl"
"2338","Klaps"
"2339","Klarinettist"
"2340","Klartext"
"2341","Klassenhass"
"2342","Klassenkampf"
"2343","Klassenlehrer"
"2344","Klassiker"
"2345","Klassizismus"
"2346","Klatsch"
"2347","Klavierabend"
"2348","Kleber"
"2349","Klebestreifen"
"2350","Klebstoff"
"2351","Klecks"
"2352","Klee"
"2353","Kleiderbuegel"
"2354","Kleiderhaken"
"2355","Kleiderschrank"
"2356","Kleinbetrieb"
"2357","Kleinbuerger"
"2358","Kleinhandel"
"2359","Kleinstaat"
"2360","Kleister"
"2361","Klempner"
"2362","Klepper"
"2363","Klerikalismus"
"2364","Klerus"
"2365","Kletterer"
"2366","Klient"
"2367","Klimawechsel"
"2368","Kliniker"
"2369","Klinker"
"2370","Klips"
"2371","Kloss"
"2372","Klosterbruder"
"2373","Klotz"
"2374","Klub"
"2375","Klump"
"2376","Klumpen"
"2377","Klumpfuss"
"2378","Knabe"
"2379","Knack"
"2380","Knacks"
"2381","Knall"
"2382","Knalleffekt"
"2383","Knast"
"2384","Knaster"
"2385","Knebel"
"2386","Knecht"
"2387","Kneipenwirt"
"2388","Knick"
"2389","Kniefall"
"2390","Kniff"
"2391","knobel"
"2392","Knoblauch"
"2393","Knochen"
"2394","Knochenbruch"
"2395","Knoechel"
"2396","Knoedel"
"2397","Knopf"
"2398","Knorpel"
"2399","Knote"
"2400","Knoten"
"2401","Knotenpunkt"
"2402","Knueller"
"2403","Knueppel"
"2404","Kobold"
"2405","Koch"
"2406","Kocher"
"2407","Kochloeffel"
"2408","Kochtopf"
"2409","Kode"
"2410","Koecher"
"2411","Koeder"
"2412","Koehler"
"2413","Koelsch"
"2414","Koenig"
"2415","Koenigssohn"
"2416","Koenner"
"2417","Koerper"
"2418","Koerperbau"
"2419","Koerpergeruch"
"2420","Koeter"
"2421","Koffer"
"2422","Kofferraum"
"2423","Kognak"
"2424","Kohl"
"2425","Kohldampf"
"2426","Kohlenstaub"
"2427","Kohlenstoff"
"2428","Kohlenwasserstoff"
"2429","Kohlkopf"
"2430","Kohlrabi"
"2431","Kojote"
"2432","Kokastrauch"
"2433","Koks"
"2434","Koksofen"
"2435","Kolben"
"2436","Kolchos"
"2437","Kolibri"
"2438","Kollaborateur"
"2439","Kollege"
"2440","Kollektivvertrag"
"2441","Koller"
"2442","Kollisionskurs"
"2443","Kolonialismus"
"2444","Kolonisator"
"2445","Koloss"
"2446","Komet"
"2447","Komfort"
"2448","Komiker"
"2449","Kommandant"
"2450","Kommandeur"
"2451","Kommanditist"
"2452","Kommentar"
"2453","Kommentator"
"2454","Kommers"
"2455","Kommerz"
"2456","Kommunalbeamte"
"2457","Kommunismus"
"2458","Kommunist"
"2459","Komoediant"
"2460","Kompaniechef"
"2461","Kompaniefuehrer"
"2462","Kompass"
"2463","Kompetenzbereich"
"2464","Komplex"
"2465","Komplize"
"2466","Komponist"
"2467","Kompost"
"2468","Komposthaufen"
"2469","Kompressor"
"2470","Kompromissvorschlag"
"2471","Kondensator"
"2472","Konditional"
"2473","Konditor"
"2474","Kondolenzbesuch"
"2475","Konferenzsaal"
"2476","Konferenzteilnehmer"
"2477","Konflikt"
"2478","Konformismus"
"2479","Konformist"
"2480","Konfuzianismus"
"2481","Kongress"
"2482","Kongressteilnehmer"
"2483","Konjunktiv"
"2484","Konkurrent"
"2485","Konkurs"
"2486","Konservatismus"
"2487","Konservator"
"2488","Konsonant"
"2489","Konsum"
"2490","Konsumartikel"
"2491","Konsument"
"2492","Konsumverein"
"2493","Kontakt"
"2494","Kontext"
"2495","Kontinent"
"2496","Kontoauszug"
"2497","Kontrabass"
"2498","Kontrahent"
"2499","Kontrakt"
"2500","Kontrapunkt"
"2501","Kontrast"
"2502","Kontrolleur"
"2503","Konvent"
"2504","Konverter"
"2505","Konvertit"
"2506","Konvexspiegel"
"2507","Konvoi"
"2508","Konzertmeister"
"2509","Koordinator"
"2510","Kopf"
"2511","Kopfball"
"2512","Kopfsprung"
"2513","Koran"
"2514","Korb"
"2515","Kordon"
"2516","Kork"
"2517","Korken"
"2518","Korkenzieher"
"2519","Kornbranntwein"
