Freq
0.41
13.23
0.11
152.59
141.59
14.19
1.96
0.9
0.17
0.1
38.19
0.51
0.41
1.33
0.29
1.93
0.54
0.16
0.73
0.79
0.11
1.42
0.11
0.13
14.71
0.14
0.27
0.91
0.91
2.47
0.85
0.86
0.41
1.3
32.77
0.3
0.16
16.87
0.41
0.12
0.43
1.96
2.03
0.62
5.14
0.42
0.66
0.32
24.31
14.09
1.48
0.17
0.48
1.18
0.75
6.65
1.39
0.2
1.98
11.25
4.34
0.11
0.94
0.23
0.14
3.67
3.67
0.1
14.28
0.41
1.7
0.46
0.46
0.13
0.6
0.14
206.88
3.32
3.32
0.41
0.5
16.97
1.9
0.25
0.25
0.1
1.02
1.5
1.5
0.63
0.48
0.79
0.12
24.73
1.34
1.34
2.22
0.26
23.68
0.19
0.19
1.06
0.37
10.67
2.25
0.41
13.65
24.57
24.57
0.14
0.72
0.32
1.75
0.26
1.09
2.31
0.27
0.27
0.3
7.22
6.88
0.37
1.56
1.56
0.42
0.16
0.16
0.4
0.38
3.25
0.35
8.5
9.61
0.16
0.57
0.57
8.5
0.59
1.05
20.48
1.05
0.46
5.65
6.99
9.19
1.04
5.65
0.2
0.96
64.75
0.1
2.15
0.23
0.2
0.2
0.16
7.01
0.14
4.86
0.44
1.23
1.23
0.16
1.4
0.1
0.44
4.17
0.59
0.59
0.15
24.03
15.36
15.36
0.28
0.33
0.23
5.66
0.13
0.17
0.3
2.12
3.54
17.17
0.24
3.54
2.79
2.79
15.76
0.16
0.25
3.14
0.4
0.87
0.35
0.26
0.11
1.28
1.52
0.28
0.27
3.15
1.82
1.82
1.55
0.32
7.38
0.16
1.56
0.84
2.62
1.12
1.3
4.41
0.18
0.16
0.14
0.57
0.78
1.12
0.57
2.77
0.49
0.16
0.58
3.35
6.75
0.26
0.91
0.91
0.5
0.5
0.6
0.15
1.19
0.86
2.03
32.31
1.71
0.16
26.33
0.15
0.24
43.06
0.34
7.29
0.64
0.38
0.2
0.14
0.14
32.81
0.4
0.27
0.27
2.16
0.14
0.11
0.62
0.17
3.13
0.19
0.28
32.41
0.81
7.5
1.07
0.27
0.21
0.2
1.61
3.06
0.53
6.79
2.81
2.81
9.05
0.14
0.46
0.44
0.2
0.53
1.89
0.29
1.91
5.81
5.57
0.23
0.16
17.32
0.72
0.17
0.17
0.19
0.23
7.11
1.2
68.44
0.14
0.29
65.34
0.4
2.31
1.93
65.34
23.43
0.59
1.94
0.51
0.15
0.46
0.28
0.38
3.5
0.2
0.11
0.17
10.66
0.44
0.18
19.91
129.97
12.82
4.34
4.34
0.79
1.14
0.22
2.45
0.78
1.15
0.31
1.75
3.56
0.33
0.34
1.64
1.43
1.43
0.4
3.73
0.17
0.23
67.27
5.37
0.39
7.59
5.06
46.45
0.28
1.19
0.56
2.22
0.14
6.2
0.45
0.13
0.2
7.1
15.77
145.72
5.24
0.75
0.16
0.77
3.96
1.45
1.45
18.2
1
0.29
1.43
4.56
0.11
0.1
6.3
0.14
0.12
7.38
0.14
0.33
3.1
54.63
0.29
1.28
1.28
0.17
0.64
0.3
0.73
0.73
0.81
0.41
59.32
3.8
59.32
0.39
0.62
0.66
0.66
2.75
0.17
0.83
0.36
0.75
0.12
44.22
38.07
38.07
2.54
0.43
6.59
28.57
0.14
5.7
0.3
0.3
6.3
1.76
1.76
3.91
1.45
1.34
0.83
0.17
0.38
9.69
1.65
0.15
2.96
0.25
0.5
2.47
0.2
0.21
11.47
3.87
0.22
0.18
0.55
0.22
0.22
8.09
58.35
1.2
0.11
2.31
0.54
3.13
3.13
3.13
2.02
1.21
2.2
0.2
0.12
0.75
0.58
0.58
0.48
0.15
0.16
33.13
0.61
0.12
